id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,정책규제의무,강제검토,강제검토사유,자사홍보성,이슈패밀리,코드힌트,오늘성점수,오늘성사유,기사유형,v26이벤트키,v26진행단계,v27_industry_ok,v27_industry_reason,v27_industry_score,v32_competitor_basis,v32_competitor_portfolio,v32_actor_group,랭킹원점수,편집신호,스토리버킷,전역사건키,전역사건기본키,Gemini카테고리,Gemini내부카테고리,Gemini이슈패밀리,Gemini이슈그룹,Gemini관련성,Gemini중요도,Gemini대외협력중요도,Gemini관련도,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini정책영향경로,Gemini경쟁시사점,Gemini중복그룹,Gemini이슈유형,v27_event_key,v26_2_profile_reason,v26가드레일사유
2192,경쟁사/해외이슈,경쟁사_해외이슈,네이버,네이버NAVER 주가 시장의 시선은 AI 인프라로…엔비디아 등 협력 가능성 주목,네이버naver 주가 시장의 시선은 ai 인프라로 엔비디아 등 협력 가능성 주목,CBC뉴스,CBC뉴스,"Sun, 21 Jun 2026 15:00:00 GMT",네이버NAVER 주가 시장의 시선은 AI 인프라로…엔비디아 등 협력 가능성 주목 CBC뉴스,https://news.google.com/rss/articles/CBMiaEFVX3lxTFBDQ29KVUMzcklVeUFJb2trMGozeVRkSHpYbV80eWVqZUdNLWNNUkpYallQTDJNMjhwTnlHaGZKbWczdDdLYlBUVXlnVGdIMmNpWW9OWmVaQ2l0VXl3REFQbjNhQjhYZXdY?oc=5,google_rss_네이버 when:4d,357.5,20.5,"ai_infrastructure_security,financial_performance",ai_infrastructure_security,네이버,,,,,,,general,24.0,published_today,market_commentary,event:네이버:ai_infrastructure_security+financial_performance,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,357.5,"financial_performance,ai_infrastructure_security",competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,네이버 AI,국가 AI 인프라/AIDC/GPU 정책,네이버의 AI 인프라 구축 및 엔비디아와의 협력 가능성은 카카오의 AI 전략 및 인프라 투자 방향에 대한 경쟁 구도를 심화시킬 수 있음.,2,2,1,,,"네이버의 AI 인프라 투자 및 핵심 파트너십에 대한 기사로, 카카오의 AI 전략 수립에 중요한 경쟁사 동향으로 판단.",gemini,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,네이버가 AI 인프라 확충과 주요 파트너십을 통해 AI 경쟁력을 강화하는 동향은 카카오의 AI 투자 및 기술 로드맵 수립 시 중요한 경쟁 환경 요인으로 고려해야 함.,국가 AI 인프라/AIDC/GPU 정책,네이버 AI,,,
2219,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버 투자에 엔비디아도 찜한 K-AI, 휴머노이드로 비바테크 접수",네이버 투자에 엔비디아도 찜한 k ai 휴머노이드로 비바테크 접수,초이스스탁,초이스스탁,"Sat, 20 Jun 2026 19:30:00 GMT","네이버 투자에 엔비디아도 찜한 K-AI, 휴머노이드로 비바테크 접수 초이스스탁",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE5VVGRWSThPZ29ZNXRLbldlaTBoZnc1bFV2REtVNFltSG1RekVJYTZoZVUyTkduR2toQkdSNERhRVRZVlNLUjloX2JQYmxUcmxKTlZnVEg4Z01pOFlqR0NZal9OQTJkUVE?oc=5,google_rss_네이버 AI when:4d,345.0,13.5,ai_infrastructure_security,ai_infrastructure_security,네이버,,,,,,,general,14.0,published_yesterday,business_change,event:네이버:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,345.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,네이버 AI,네이버 AI 투자 및 휴머노이드 전략,네이버의 AI 투자 및 휴머노이드와 같은 첨단 AI 기술 개발 동향은 카카오의 미래 AI 서비스 전략 및 투자 방향에 영향을 줄 수 있음.,2,2,1,,,"네이버의 AI 투자 및 첨단 AI 기술 개발(휴머노이드)에 대한 기사로, 카카오의 AI 전략 수립에 중요한 경쟁사 동향으로 판단.",gemini,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,네이버가 특정 AI 분야에 대한 투자를 확대하고 글로벌 행사에서 기술력을 선보이는 것은 카카오의 AI 포트폴리오 확장 및 기술 리더십 확보 전략 수립에 참고해야 할 경쟁사 시그널임.,네이버 AI 투자 및 휴머노이드 전략,네이버 AI,,,
3206,경쟁사/해외이슈,경쟁사_해외이슈,구글,"네이버 검색 점유율, AI 검색 강화 이후 80% 넘었다",네이버 검색 점유율 ai 검색 강화 이후 80 넘었다,파이낸셜뉴스,파이낸셜뉴스,"Sun, 21 Jun 2026 04:59:09 GMT","네이버 검색 점유율, AI 검색 강화 이후 80% 넘었다 파이낸셜뉴스",https://news.google.com/rss/articles/CBMiWkFVX3lxTE1jblZBVHM4ZE92MW92VDBRTW56emV2UFpoTXhuR1Z1elRuOFVqNlNxSUJ1bFhSZXhBaXE0ZXB3T0l1WEhLTDB6aWRNUTAxanFqRDBwZ2V4YURZQQ?oc=5,google_rss_구글 site:fnnews.com when:4d,341.5,56.5,"ai_infrastructure_security,search_ads",ai_infrastructure_security,네이버,brand_not_in_title,Y,,,,competitor:platform_obligation,platform_operator_obligation,14.0,published_yesterday,business_change,global_incident:platform_regulation:naver:platform_algorithm_ad_obligation,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,341.5,ai_infrastructure_security,competitor:platform_obligation,global_incident:platform_regulation:naver:platform_algorithm_ad_obligation:general,global_incident:platform_regulation:naver:platform_algorithm_ad_obligation,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,네이버 AI,네이버 AI 검색 강화 및 시장 점유율 상승,네이버의 AI 검색 강화가 검색 시장 점유율 상승으로 이어진 것은 카카오의 검색 서비스 전략 및 AI 도입 방향에 대한 재고를 필요하게 할 수 있음.,1,2,1,,,"네이버의 AI 검색 강화가 시장 점유율 상승으로 이어진 현상을 다룬 기사로, 카카오의 플랫폼 및 AI 전략에 직접적인 경쟁 영향을 미치는 주요 동향.",gemini,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,네이버의 AI 검색 서비스가 시장 지배력을 더욱 강화하는 추세는 카카오의 검색 및 AI 서비스 경쟁력 확보 전략에 대한 시사점을 제공함.,네이버 AI 검색 강화 및 시장 점유율 상승,네이버 AI,,,
2620,경쟁사/해외이슈,경쟁사_해외이슈,KT,"‘엔비디아·독파모’ 비켜간 KT, ‘OOO’에 기대다",엔비디아 독파모 비켜간 kt ooo에 기대다,한국금융신문,한국금융신문,"Sun, 21 Jun 2026 15:00:00 GMT","‘엔비디아·독파모’ 비켜간 KT, ‘OOO’에 기대다 한국금융신문",https://news.google.com/rss/articles/CBMifEFVX3lxTFBwYnc3TkxjbzM2eXhrTEFrYVI1TkJ0MUlLMTFRcXNXMVE2SDNEaDV2S1BEamtCRm5WMnlMTnJpbHJFRS1WSnRDNTFOVHlGRGUtYXdlcWRhdXg1S04zSFUxaHU1VUhRRk16Z3dSS3RvbHJ1cDAwRmFmUlNIXzM?oc=5,google_rss_KT when:4d,335.0,4.0,,,KT,,,,,,,general,24.0,published_today,general,,general,,"insufficient_industry_basis:actor=True,change=False,bridge=False",1,naver_telco_strategy_or_infra,Y,telco,335.0,,,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,KT AI,KT 금융 AX/AI 인프라 전략,KT가 자체적인 AI 파트너십 전략을 통해 AX(AI Transformation) 사업을 강화하는 것은 카카오의 AI 사업 경쟁 구도에 영향을 미칠 수 있음.,2,2,1,,,"KT의 AI 전략 및 파트너십 동향을 다룬 기사로, 카카오의 AI 사업 전략에 대한 경쟁 환경 분석에 유의미함.",gemini,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,KT의 AI 파트너십 전략은 카카오의 AI 사업 확장 및 협력 모델 수립에 대한 경쟁사 벤치마킹 요소로 작용할 수 있음.,KT 금융 AX/AI 인프라 전략,KT AI,,,
2762,경쟁사/해외이슈,경쟁사_해외이슈,쿠팡,"KT, 최대 2000억대 과징금 초읽기…쿠팡 6246억 제재 후폭풍에 ‘비상’",kt 최대 2000억대 과징금 초읽기 쿠팡 6246억 제재 후폭풍에 비상,이코노미트리뷴,이코노미트리뷴,"Fri, 19 Jun 2026 02:39:17 GMT","KT, 최대 2000억대 과징금 초읽기…쿠팡 6246억 제재 후폭풍에 ‘비상’ 이코노미트리뷴",https://news.google.com/rss/articles/CBMid0FVX3lxTE5GNVl0WU5qLVd0Q0g0aF9TUU1DSlVJSFVxLU1UNUR2bUpNZ1JSZWhjTExINzNaN3M0eXQ3TU13OWJIWWhSVEg0ZFFRcXlocWRIUkJmcUhvRlVRNVBoeVg4RlZKeFR4dE14cHVEQmNpYXhFZjBvcmR3?oc=5,google_rss_쿠팡 과징금 when:4d,325.0,79.0,"antitrust_platform,legal_regulatory_enforcement",antitrust_general,"KT,쿠팡",,Y,,,,competitor:platform_obligation,platform_operator_obligation,0.0,,official_action,global_incident:platform_regulation:coupang:platform_operator_obligation,penalty_or_sanction,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,coupang_competitor_enforcement_or_risk,Y,coupang,325.0,legal_regulatory_enforcement,competitor:platform_obligation,global_incident:platform_regulation:coupang:platform_operator_obligation:sanction_penalty,global_incident:platform_regulation:coupang:platform_operator_obligation,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,경쟁사 규제,KT 과징금 부과 가능성 및 쿠팡 제재 영향,"KT에 대한 대규모 과징금 부과 가능성 및 쿠팡 제재 사례는 플랫폼 사업자에 대한 정부의 규제 집행 강화를 시사하며, 카카오도 유사한 유형의 규제 리스크에 대비해야 함.",1,1,1,,,"경쟁사(KT)에 대한 대규모 과징금 부과 가능성과 쿠팡 제재의 후폭풍을 다루고 있어, 플랫폼 사업자에 대한 규제 강화 추세 및 카카오의 잠재적 규제 리스크를 인지하는 데 중요함.",gemini,,,COMP_DOMESTIC_DIRECT_RISK,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 과징금 부과 가능성 및 쿠팡 제재 영향,경쟁사 규제,,,
2225,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"쿠팡 ‘과징금 폭탄’에 입지 흔들…네이버, AI·N배송 앞세워 ‘탈팡족’ 흡수",쿠팡 과징금 폭탄에 입지 흔들 네이버 ai n배송 앞세워 탈팡족 흡수,CEO스코어데일리,CEO스코어데일리,"Fri, 19 Jun 2026 22:00:00 GMT","쿠팡 ‘과징금 폭탄’에 입지 흔들…네이버, AI·N배송 앞세워 ‘탈팡족’ 흡수 CEO스코어데일리",https://news.google.com/rss/articles/CBMia0FVX3lxTFBNSWZoNU1abGlaVG9GT3QyekJBTkh6QmtQeEFzQTlESkwtMEs0LWdIV1dtVnpsRFh5MzFMckJGNklVYVY2b1BTcXBYSXhWdkhNeTFJRnQyRzNUaENOaC1VMlZsU3NPckhsYmdZ?oc=5,google_rss_네이버 AI when:4d,324.0,45.5,"ai_infrastructure_security,antitrust_platform,legal_regulatory_enforcement",antitrust_general,"네이버,쿠팡",,,,,,,general,0.0,,official_action,global_incident:platform_regulation:naver:coupang_designation_disclosure,penalty_or_sanction,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,coupang_competitor_enforcement_or_risk,Y,naver,324.0,"legal_regulatory_enforcement,ai_infrastructure_security",competitor:regulatory_enforcement,global_incident:platform_regulation:naver:coupang_designation_disclosure:sanction_penalty,global_incident:platform_regulation:naver:coupang_designation_disclosure,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,네이버 경쟁전략,쿠팡 과징금 후 네이버의 반사이익 전략,쿠팡의 규제 리스크가 네이버에게 AI 및 배송 서비스 강화를 통한 시장 점유율 확대 기회가 된 것은 카카오 커머스 및 AI 서비스의 경쟁 구도에 영향을 미칠 수 있음.,1,2,1,,,"쿠팡의 과징금 이슈가 네이버의 시장 경쟁 전략(AI, N배송 강화)에 미치는 영향을 다루고 있어, 카카오의 커머스 및 AI 사업 전략 수립에 중요한 경쟁사 동향으로 판단.",gemini,,,COMP_DOMESTIC_STRATEGY,domestic,,"네이버가 경쟁사의 위기를 기회 삼아 AI, 배송 등 핵심 역량을 강화하는 전략은 카카오의 커머스 및 서비스 전략 수립 시 경쟁 우위 확보 방안을 모색하는 데 시사점을 줌.",쿠팡 과징금 후 네이버의 반사이익 전략,네이버 경쟁전략,,,
2174,경쟁사/해외이슈,경쟁사_해외이슈,네이버,AI 검색 고도화에 네이버 날고 MS 점유율 6% 터치…다음은 부진,ai 검색 고도화에 네이버 날고 ms 점유율 6 터치 다음은 부진,네이트,네이트,"Mon, 22 Jun 2026 04:52:00 GMT",AI 검색 고도화에 네이버 날고 MS 점유율 6% 터치…다음은 부진 네이트,https://news.google.com/rss/articles/CBMiU0FVX3lxTFBrZ1ltM1dQVE1RTktVZUNGelRmXzU0ZVlXTzd3U3N3LVhGRzB2Y0hib0k1VDBYTkgzc2pGc1p5OGpVN3BDYmIweWMtOHA1OFlUMXJN?oc=5,google_rss_네이버 when:4d,322.5,16.5,"ai_infrastructure_security,search_ads",ai_infrastructure_security,네이버,,,,,,,general,24.0,published_today,business_change,event:네이버:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,322.5,ai_infrastructure_security,self:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,네이버 AI,네이버 AI 검색 고도화 및 다음 검색 부진,네이버의 AI 검색 고도화로 인한 시장 지배력 강화와 '다음'의 검색 부진은 카카오의 검색 서비스 및 AI 전략 전반에 대한 위협 요인으로 작용하며 긴급한 대응이 필요함.,1,2,1,,,"네이버의 AI 검색 성공과 직접적으로 카카오 계열사 '다음'의 검색 부진을 비교하고 있어, 카카오의 핵심 플랫폼 경쟁력에 대한 심각한 위협 요인으로 판단.",gemini,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,네이버의 AI 검색 성공이 '다음'의 시장 점유율 하락으로 이어지는 것은 카카오가 '다음' 검색 서비스의 AI 전략을 재검토하고 경쟁력 강화 방안을 시급히 마련해야 함을 시사함.,네이버 AI 검색 고도화 및 다음 검색 부진,네이버 AI,,,
2513,경쟁사/해외이슈,경쟁사_해외이슈,SKT,"SKT, 보안·네트워크 AX인재 키운다…실무형 AX 교육 과정 운영",skt 보안 네트워크 ax인재 키운다 실무형 ax 교육 과정 운영,IT비즈뉴스,IT비즈뉴스,"Sun, 21 Jun 2026 22:45:00 GMT","SKT, 보안·네트워크 AX인재 키운다…실무형 AX 교육 과정 운영 IT비즈뉴스",https://news.google.com/rss/articles/CBMibEFVX3lxTFAwV2FObXprVU16RGREYzZEdExJSFVXT0tNSk8tWEpKeTIyX2VUOWxQVUpycWdUeGtZUGVRcXVyV1ZtUTEtdnc5QjdJMUlONFpRMjgzYml1LXc5VG5YXzgyeDJBMDdEalA4Q3drOQ?oc=5,google_rss_SKT when:4d,322.0,18.0,"phishing_security,privacy_security_reliability",security_general,SKT,,,,,,,general,24.0,published_today,direct_risk,event:SKT:phishing_security+privacy_security_reliability,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,322.0,privacy_security_reliability,competitor:security_reliability,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,SKT AX,KT 금융 AX/AI 인프라 전략,"SKT가 AI/AX 인재 양성에 투자하는 것은 카카오의 AI 인재 확보 및 육성 전략에 대한 경쟁적 압력을 가중시키며, 인력 유출 및 경쟁력 약화 가능성에 대비해야 함.",2,2,1,,,"SKT의 AI/AX 인재 양성 전략을 다룬 기사로, 카카오의 AI 기술 경쟁력 유지를 위한 인재 확보 및 육성 전략에 시사하는 바가 큼.",gemini,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,SKT의 AX 인재 양성 전략은 카카오가 AI 기술 경쟁력 유지를 위해 내부 인재 육성 및 외부 전문가 영입 방안을 강화해야 함을 시사함.,KT 금융 AX/AI 인프라 전략,SKT AX,,,
2543,경쟁사/해외이슈,경쟁사_해외이슈,SKT,"SKT, 보안·네트워크 AX 인재 키운다…교육비 전액 지원",skt 보안 네트워크 ax 인재 키운다 교육비 전액 지원,v.daum.net,v.daum.net,"Sun, 21 Jun 2026 00:33:02 GMT","SKT, 보안·네트워크 AX 인재 키운다…교육비 전액 지원 v.daum.net",https://news.google.com/rss/articles/CBMiT0FVX3lxTE83dkp4eHk5V2d6Zmk0UUdpWUlMZnNwMEFKSkVlRzJEOU4yZ3l1b0FaWWQ1V0NuTXZtMGhBR05LODBGY0lSZGNwTUFqRjRMZlk?oc=5,google_rss_SKT when:4d,317.5,18.0,"phishing_security,privacy_security_reliability",security_general,SKT,,,,,,,general,14.0,published_yesterday,direct_risk,event:SKT:phishing_security+privacy_security_reliability,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,317.5,privacy_security_reliability,competitor:security_reliability,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,SKT AX,KT 금융 AX/AI 인프라 전략,"SKT가 AI/AX 인재 양성에 투자하는 것은 카카오의 AI 인재 확보 및 육성 전략에 대한 경쟁적 압력을 가중시키며, 인력 유출 및 경쟁력 약화 가능성에 대비해야 함.",2,2,1,,,"SKT의 AI/AX 인재 양성 전략을 다룬 기사로, 카카오의 AI 기술 경쟁력 유지를 위한 인재 확보 및 육성 전략에 시사하는 바가 큼. (2513과 동일 이슈)",gemini,OFF_TOPIC,,COMP_DOMESTIC_AI_PLATFORM,domestic,,SKT의 AX 인재 양성 전략은 카카오가 AI 기술 경쟁력 유지를 위해 내부 인재 육성 및 외부 전문가 영입 방안을 강화해야 함을 시사함.,KT 금융 AX/AI 인프라 전략,SKT AX,,,
3508,경쟁사/해외이슈,경쟁사_해외이슈,MS,코파일럿 전면 도입 효과…LG유플러스 AI 이용률 80% 돌파,코파일럿 전면 도입 효과 lg유플러스 ai 이용률 80 돌파,매일경제,매일경제,"Mon, 22 Jun 2026 04:47:44 GMT",코파일럿 전면 도입 효과…LG유플러스 AI 이용률 80% 돌파 매일경제,https://news.google.com/rss/articles/CBMiTkFVX3lxTE5pV3hZRDhIQUxLbHNyN3Rpc25BbTRNNWpSTjVrc3RTTU5RVmJNQWRUMVJ4MGhXbncxWDZINU04a21nZ3UwcTRUTU92aWtsZw?oc=5,google_rss_MS site:mk.co.kr when:4d,317.0,11.0,ai_infrastructure_security,ai_infrastructure_security,LGU+,,,,,,,general,24.0,published_today,business_change,event:LGU+:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=False",2,naver_telco_strategy_or_infra,Y,telco,317.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,LGU+ AI,LGU+ MS 코파일럿 도입 및 사내 AI 활용도 증대,LG유플러스가 MS 코파일럿 도입을 통해 사내 AI 활용도를 높이는 것은 카카오의 내부 업무 효율성 증대를 위한 AI 도입 전략 및 파트너십 방향에 대한 경쟁적 시사점을 제공함.,2,2,1,,,"LG유플러스의 MS 코파일럿 도입을 통한 사내 AI 활용도 증대 기사로, 카카오의 내부 AI 도입 전략 수립에 참고할 만한 경쟁사 동향.",gemini,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,경쟁사가 외부 AI 솔루션 도입을 통해 내부 효율성을 높이는 것은 카카오가 자체 AI 솔루션 개발 및 도입 전략을 수립하는 데 있어 벤치마킹 요소로 작용할 수 있음.,LGU+ MS 코파일럿 도입 및 사내 AI 활용도 증대,LGU+ AI,,,
