검색어,후보제목,후보링크,후보언론사,매칭과거일자,매칭과거제목,매칭과거링크,중복판정이유,공유주체,공유사건태그,종합점수,제목점수,토큰점수,본문점수,후보대표점수,매칭대표점수,제외단계,원문날짜,날짜검증결과,v20_issue_id,v20_issue_group
카카오,"경찰, 카카오페이 본사 압수수색···4000만 고객정보 유출 혐의",https://news.google.com/rss/articles/CBMiakFVX3lxTE5qajRsd3FZY1lQc1lPXzA1YXNCeXlRUl9Td2dIclVNQ2YtVTNBOFpTdUxXMWxKWU9zcVk2VVBvRUdfUmFhX3NPWEd3ZDlBU0JkYnI3SFpHY0s2NEM1WVhxTmlKNHRWNHpSaUE?oc=5,서울파이낸스,2026-07-08,"[주목! e금융] 하나금융·우리은행·카카오뱅크·신한은행·KB국민...""포용금융부터 디지털 보안까지""",https://www.kdfnews.com/news/articleView.html?idxno=184980,v40_same_official_enforcement_base:platform_enforcement:kakao:privacy_data_violation:decision->general,,platform_enforcement:kakao:privacy_data_violation,0.98,,,,,,,,,,
카카오,"[리포트 브리핑]카카오, '본업 양호하나 AI 수익화 검증 필요' 목표가 61,000원 - 신한투자증권",https://news.google.com/rss/articles/CBMiXEFVX3lxTE9VVDRMRXpkYzRWRWdtSnU4Q1BZRk9ZNVUwTU82MVZXV2pUeEVnNTVoNFFiRlRIZVBwYmo1SnRmcmpBMzNxZHRIeFRIZGRGNnJwMTdwbU5YVC1ZdFB3?oc=5,뉴스핌,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"카카오뱅크, 큰 폭의 NIM 상승세 지속...포트폴리오 다변화도 기대",https://news.google.com/rss/articles/CBMibkFVX3lxTFBPTWVWX0lUUi1DRTFlcU8xNHVSQWFDUUNlMzJRTkZtV3MwZi16a3BQREplTXUxVm1sX1lSalhuck1xQXVsYmp0ejRjNVZiUkhudFR4cHc1Ni16TmJLdzU3dnFNUHREQVFvU1RQdFpB?oc=5,알파경제,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"경찰, 카카오페이 압수수색…개인정보 유출 의혹",https://news.google.com/rss/articles/CBMic0FVX3lxTFA0T0pSNXlkRF9CdnhodjdMM25RNTNtN0ZVUVNKQlVITjlac3JnbU1KWTEwTU9DMjgzaVJ5NjFST1pTRncyVHNMZzhzQWRBZjhKQy0ybzhVNWd1eHM2d0J4bXNULU5rLUs4YmstT1RaYzF2Mkk?oc=5,일요주간,2026-07-08,"[주목! e금융] 하나금융·우리은행·카카오뱅크·신한은행·KB국민...""포용금융부터 디지털 보안까지""",https://www.kdfnews.com/news/articleView.html?idxno=184980,v40_same_official_enforcement_base:platform_enforcement:kakao:privacy_data_violation:decision->general,,platform_enforcement:kakao:privacy_data_violation,0.98,,,,,,,,,,
카카오,"카카오, AI 모멘텀 약화…목표가 17% 하향-LS",https://news.google.com/rss/articles/CBMigAFBVV95cUxNRzJ4OUFfVERyMnp5cDJqbkd4VnN6QkJuX0I4ZE9zTUpGOVpRUEJlYWJNU3g3UnpDc19IWW80S0tJVUoya1FpWk00UUM4QU0zdklvb1RQRmJQNE0tUllVMlVDWTU3YkFFdHIwSXg5TFFFOHlXYnJQcUM2X0xCUkZMSw?oc=5,이데일리,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"카겜 김태환 신임대표, 실탄 3000억 활용에 쏠리는 눈",https://news.google.com/rss/articles/CBMifEFVX3lxTE1RTW9CeVlaMU45NjZGWTItaWNGYlJnZGQtT0RnSHZwNmlYR2Naekpib0w1d0UyZHNpYzJvNm01cWhiS0cwYWdXbnNyMkFsTmkxcVdBTkJkcVItYUpkREhKVlVyc2FpWDRkSUFneUItdVppTWJaZDNTRUZFT2M?oc=5,한국금융신문,COLLECTION_FILTER,,,collection_relevance:collection_relevance:self_entity_absent_from_title_and_front_summary,,,,,,,,,,,,,
카카오,"카카오프렌즈, 한국 전통의 멋 담은 '옛날옛춘' 테마 굿즈 출시",https://news.google.com/rss/articles/CBMiVkFVX3lxTE9TWmlpSU5hYjVnUVFTQ1pmSFgxc3hBai0yUkpiWEdKdThHY3pPU1NPVXRXWTRRdldFWmlRSFA0M3V0TUY2bU1QRkgzNUlxdlgya0FpQS1n?oc=5,카카오,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"[금융 풍향계] 윤호영 카카오뱅크 대표, 몽골서 디지털 혁신 경험 공유 外",https://news.google.com/rss/articles/CBMiYkFVX3lxTE96ZGNjeEtBS3FRbFp2U21XeUN3M0paLXFhaXJiWjBUYXpYQkNvLXNqaWhyVW9ZZG01ZnFVRzY5aW45X1ZvSUk5U1NBOC00eng4U0VfUXRjWERjblUtU3NYMVVn?oc=5,에너지경제신문,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,호실적에도 외면받는 카카오…스톡옵션·RSU 가치도 흔들,https://news.google.com/rss/articles/CBMibkFVX3lxTE9NZE12bDhfZFJ1aXZNNF81S0hUbm1rNWlkZUUzak1GMzlVRHd5elVjclhPMkFPc3dzM2x6VG5hbDZtc1pxSXZaOHJBclJoUnJrRlk3WExNYUwxX2o5QWdDaUpLaE9nT3kza3hmZWhR?oc=5,아시아투데이,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"“팬 활동도 기록하고 꾸민다”… 카카오엔터, 팬덤 생태계 확장 - 조선비즈",https://news.google.com/rss/articles/CBMiggFBVV95cUxQZTdRdENZajUzWXU1OVd3anVBemlHWmtnSHdWU19TbE5rdDRmYkk2eHJpYjRLZnRURUN4amo2M1psUkRGcFlfS3Z4VGpIUmFza3R6WjdIQUZVTS1BdnVMOXVFMkNzUWVLMmI2aE5ySzFiOV9vNDZRbWlTY0ZBTU5UN1Vn0gGWAUFVX3lxTFByU1ZaNlE2ZHhrV0ZLT2ZDQW1YZmktWjFPdWZNdGlsWlVtYzNuV2M1U25iZUtINzZyNk1OLXFOdUlvdkFKODVUaEJ5YWNscWh4R21tZDFja3pvTXFLdENZWE10Z200MTYtbjd4YTNzS2hwNnVLZncyM0NfV285UGYtNWRSZ216XzY0cndwYmloNi1TNUVldw?oc=5,Chosunbiz,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,AI 신용평가 들고 몽골 간 카카오뱅크…K금융 수출 새 모델,https://news.google.com/rss/articles/CBMickFVX3lxTE1SdGdZYms0WUkzV05BaDFjN201SUZzZmVPWFpKckRVa0hyNmRWR2VDbmZ1dUxpVmNjZnZDQ0NqQlNVY0w2dXJkVl9CckVYaFkwYVhRNmhxc3prbjY3eXVBS0JnTzVObkkxdFFBWFZjcVpMQQ?oc=5,오피니언뉴스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"한국해운조합, 여객선 예매 서비스 고도화…AI 챗봇·카카오페이 도입",https://news.google.com/rss/articles/CBMia0FVX3lxTFBfODI2c1VFbDhxWHJ5Nm05ZFhsRzN5bVNjRm00Q3BTdmlLN3g4Z3FGekhlMUpSU0VGN2F5aU5LV3JMR2FpN1V1V09YckRxa2pRbldzTEREbmozcVI2MjJtUS12V2Zsd2JwT2Nn?oc=5,해사신문,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"韓 전통 설화에서 영감⋯카카오, '옛날옛춘' 테마 굿즈 출시",https://news.google.com/rss/articles/CBMiR0FVX3lxTE1McHVlSjNyU2lOQ3pyY2U1dTViQk1POHViaWVGaXh4RWNSWjJnRjBBaXpsYW9PNTV1Q3JldEVSZVhSVHJkWmFB?oc=5,아이뉴스24,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
