id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,정책규제의무,강제검토,강제검토사유,자사홍보성,이슈패밀리,코드힌트,오늘성점수,오늘성사유,기사유형,v26이벤트키,v26진행단계,v27_industry_ok,v27_industry_reason,v27_industry_score,v32_competitor_basis,v32_competitor_portfolio,v32_actor_group,랭킹원점수,편집신호,스토리버킷,전역사건키,전역사건기본키,Gemini카테고리,Gemini내부카테고리,Gemini이슈패밀리,Gemini이슈그룹,Gemini관련성,Gemini중요도,Gemini대외협력중요도,Gemini관련도,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini정책영향경로,Gemini경쟁시사점,Gemini중복그룹,Gemini이슈유형,v27_event_key,v26_2_profile_reason,v32_weak_non_digital_gov,v26가드레일사유
2085,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"엔비디아, 네이버와 AI 인프라 확장... 차세대 AI 인프라 확장 개시",엔비디아 네이버와 ai 인프라 확장 차세대 ai 인프라 확장 개시,인벤,인벤,"Mon, 13 Jul 2026 22:33:36 GMT","엔비디아, 네이버와 AI 인프라 확장... 차세대 AI 인프라 확장 개시 인벤",https://news.google.com/rss/articles/CBMibkFVX3lxTFBOekFaT3lJNWwyQ1Y4blZjNW9Xd3IwZkdFSElobFBsLXphUktVdDFJZVBMNVAtMzk2R2pYY1ZuMmZWbTNmTGh4Yi1UaVc2RU9uc2RjVEpPMmRpTEkybm54ampXR092a0xic09aQlpB?oc=5,google_rss_네이버 규제 when:2d,349.5,13.5,ai_infrastructure_security,ai_infrastructure_security,네이버,,,,,,,general,24.0,published_today,business_change,event:네이버:ai_infrastructure_security,action_started,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,349.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_ai_platform,,,,
2498,경쟁사/해외이슈,경쟁사_해외이슈,쿠팡,"개보위, 개인정보 유출 KT 과징금 내주 결론",개보위 개인정보 유출 kt 과징금 내주 결론,헤럴드경제,헤럴드경제,"Tue, 14 Jul 2026 02:36:15 GMT","개보위, 개인정보 유출 KT 과징금 내주 결론 헤럴드경제",https://news.google.com/rss/articles/CBMiVkFVX3lxTFBxZnZHdUVkVEdPdk54cWNqbmFIbWMzcVFDUnlpMkdjYkJCWUpUdW5mU3FiRFpwcXVucWxBQndURkpQVFJ0a01sXzRPR3ExOWJzQ0NFWUFn?oc=5,google_rss_쿠팡 site:heraldcorp.com when:2d,334.0,121.0,"antitrust_platform,legal_regulatory_enforcement,phishing_security,privacy_security_reliability",antitrust_general,KT,brand_not_in_title,Y,,,,government:platform_obligation,platform_operator_obligation,24.0,published_today,official_action,privacy_security:kt:data_leak,penalty_or_sanction,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,coupang_competitor_enforcement_or_risk,Y,coupang,334.0,"legal_regulatory_enforcement,privacy_security_reliability",government:platform_obligation,global_incident:platform_regulation:kt:platform_data_protection_obligation:sanction_penalty,global_incident:platform_regulation:kt:platform_data_protection_obligation,정부_국회,GOV_PLATFORM_REGULATION,government_platform_regulation,global_incident:platform_regulation:kt:platform_data_protection_obligation,카카오 또는 주요 플랫폼 사업자에게 직접 의무·차단·보고·준수 부담이 생김,5,5,5,,,로컬 보조 라벨,local_low_confidence,,GOV_DIRECT_PLATFORM_OBLIGATION,COMP_DOMESTIC_DIRECT_RISK,domestic,카카오 또는 주요 플랫폼 사업자에게 직접 의무·차단·보고·준수 부담이 생김,카카오 또는 주요 플랫폼 사업자에게 직접 의무·차단·보고·준수 부담이 생김,global_incident:platform_regulation:kt:platform_data_protection_obligation,government_platform_regulation,,,,
2278,경쟁사/해외이슈,경쟁사_해외이슈,KT,KT-인천센터 ‘SMART-X LAB’ 14기 모집… 올해는 정보보안 스타트업,kt 인천센터 smart x lab 14기 모집 올해는 정보보안 스타트업,플래텀(Platum),플래텀(Platum),"Tue, 14 Jul 2026 02:01:32 GMT",KT-인천센터 ‘SMART-X LAB’ 14기 모집… 올해는 정보보안 스타트업 플래텀(Platum),https://news.google.com/rss/articles/CBMiSEFVX3lxTE12RnNfVUxRRW5XbEFvLXZ1QjRJWXpocDdnUmQtUXN4a2o1QkdGVXlsVUFLeXZDeDVlT0RRY04wVks2RU5JTnA1Ng?oc=5,google_rss_KT when:2d,334.0,25.0,"kim_beomsoo_trial,phishing_security,privacy_security_reliability",security_general,KT,,,,,,,general,24.0,published_today,direct_risk,event:KT:kim_beomsoo_trial+phishing_security,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,334.0,privacy_security_reliability,competitor:security_reliability,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_strategy,comp_domestic_strategy:kt 인천센터 smart x lab 14기 모집 올해는 정보보안 스타트업,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_STRATEGY,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_strategy:kt 인천센터 smart x lab 14기 모집 올해는 정보보안 스타트업,comp_domestic_strategy,,,,
2164,경쟁사/해외이슈,경쟁사_해외이슈,SKT,독파모 SKT 정예팀에 SK AX·테크노매트릭스 합류,독파모 skt 정예팀에 sk ax 테크노매트릭스 합류,보안뉴스,보안뉴스,"Tue, 14 Jul 2026 01:59:00 GMT",독파모 SKT 정예팀에 SK AX·테크노매트릭스 합류 보안뉴스,https://news.google.com/rss/articles/CBMiX0FVX3lxTE5BU3hMTFExalBUMTNiamQyMlVIRnFKcXBsZHVYNUFLMmQ0bmphMEQxaHRvTkVyT3drMzUxcjJfXzAzamxEb25TTlFHRGd6TGswY3RCSE1sSTJsb2xQWldZ?oc=5,google_rss_SKT when:2d,324.0,18.0,"phishing_security,privacy_security_reliability",security_general,SKT,,,,,,,general,24.0,published_today,direct_risk,event:SKT:phishing_security+privacy_security_reliability,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,324.0,privacy_security_reliability,competitor:security_reliability,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,,,,
2206,경쟁사/해외이슈,경쟁사_해외이슈,SKT,"SKT, 독자 AI 파운데이션 모델 컨소시엄 확대…산업 AX 역량 강화",skt 독자 ai 파운데이션 모델 컨소시엄 확대 산업 ax 역량 강화,이로운넷,이로운넷,"Tue, 14 Jul 2026 00:49:17 GMT","SKT, 독자 AI 파운데이션 모델 컨소시엄 확대…산업 AX 역량 강화 이로운넷",https://news.google.com/rss/articles/CBMiZkFVX3lxTE11N04wX1BVcGJBblVvcUE0S2ZsS2NDOHVsbTU0SU9nT0pKTElISFlhazI3ZFpvcHJLSm1tMDhEM1lmY0lzSjg1Q0FSOF83NVRDWDNjbjVwcWNOMGtaeXdrSlpQbi1KZw?oc=5,google_rss_SKT when:2d,322.0,18.0,"ai_infrastructure_security,strategy_mna_governance",ai_infrastructure_security,SKT,,,,,,,general,24.0,published_today,business_change,event:SKT:ai_infrastructure_security+strategy_mna_governance,general,Y,"industry_basis_pass:actor=True,change=True,bridge=False",2,naver_telco_strategy_or_infra,Y,telco,322.0,"strategy_mna_governance,ai_infrastructure_security",competitor:strategy_mna,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,,,,
2215,경쟁사/해외이슈,경쟁사_해외이슈,SKT,"SKT, 'AI-RAN 선도망' 구축 및 'A.X K2' 파운데이션 모델 고도화 추진",skt ai ran 선도망 구축 및 a x k2 파운데이션 모델 고도화 추진,데일리팝,데일리팝,"Tue, 14 Jul 2026 06:28:00 GMT","SKT, 'AI-RAN 선도망' 구축 및 'A.X K2' 파운데이션 모델 고도화 추진 데일리팝",https://news.google.com/rss/articles/CBMiaEFVX3lxTFAxV2VUOXNRR3ZkbEQxYkRCaTNZZk1GOXFUTVhSLWpDdUtNSURpcDB1N2FQaEdsVGF5U1hodjBrNU9hb1JvbE9RTmNhQlJCTzNVT1BITXNsTDY0cV9SUlFCWXVLU1I1NzRt?oc=5,google_rss_SKT when:2d,314.0,11.0,ai_infrastructure_security,ai_infrastructure_security,SKT,,,,,,,general,24.0,published_today,business_change,event:SKT:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=False",2,naver_telco_strategy_or_infra,Y,telco,314.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_domestic_public_infra,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_PUBLIC_INFRA,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_public_infra,,,,
1935,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"[단독] 네이버, 美 크립토기업 ‘레인’ 투자…‘네나무’ 글로벌 결제 사업 교두보",네이버 크립토기업 레인 투자 네나무 글로벌 결제 사업 교두보,한국경제,한국경제,"Tue, 14 Jul 2026 05:18:03 GMT","[단독] 네이버, 美 크립토기업 ‘레인’ 투자…‘네나무’ 글로벌 결제 사업 교두보 한국경제",https://news.google.com/rss/articles/CBMiWkFVX3lxTE8wNXJxcVdlSldHd3dOREt2enNIWUp6SHFzeU56T3pTeVdhdncxUFdnM1JqRENQSVBZX3drZzFrdFplRU52UnktYnBhcVY3cDNuREZPYUxrVU83QQ?oc=5,google_rss_네이버 when:2d,312.75,6.5,,,네이버,,,,,,,general,29.0,published_today+exclusive_breaking,general,,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,312.75,,,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_strategy,comp_domestic_strategy:네이버 크립토기업 레인 투자 네나무 글로벌 결제 사업 교두보,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_STRATEGY,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_strategy:네이버 크립토기업 레인 투자 네나무 글로벌 결제 사업 교두보,comp_domestic_strategy,,,,
3084,경쟁사/해외이슈,경쟁사_해외이슈,메타,"SK텔레콤, 메타버스 플랫폼 '이프랜드' 공개",sk텔레콤 메타버스 플랫폼 이프랜드 공개,전자신문,전자신문,"Mon, 13 Jul 2026 01:18:34 GMT","SK텔레콤, 메타버스 플랫폼 '이프랜드' 공개 전자신문",https://news.google.com/rss/articles/CBMi8gRBVV95cUxOYlRiTFVqMGZFWjdqcUx2UUZoTlhRWEFnb1VkODk5Rm1fUU5qZ1I0bWNoR205eEk2S2RTbkg4TFh0UnpOQldaaEVyenAwR2djdnhNLUZQZm5jcVdYdXBPRzl3TmhiN3phbFl2VVU5bU9YX093My1GQU5oZU5ZRkVHN1NsM2tGeTFzYURwbVhZbkhUbC1GdzVBZXQ2dllMdG9rdDZiVVlndWItTENpRGE4QnVOTlVMZm5PSWhzVjVIWlZMNDhDdHFLVy0xbEFnTC0tNmJJbVpkNU5KU3ZsQWhBYVZkc1VOa1g3emNPTWp1QWtQSmVlVk00c09uQkZsSHJuUVZKUjFIYjF4TUh4TUdBbUlleXZ4UUFmS3BNR3dESi1HNEJzZkZ1SFNWUUZfT2RjYzlFYkJKWmxObXZhTk5TMHZGRGs3RS1La3pwQzRBUHB3b3poUVNuQzU5b2t2M091MkpNQ3loamNDYWhQM2NfMFBnZWRyRGRKSEFmOHduOWFCNTNaQnFoUm41TFoyTW56RldYbzBGTndyN2lRdzVXeVBFM3A3U0R1V0ZrV2hlMlhhNktpZ2VQbHZoMzlIMDhFN0I2bjhiZXJhQl9tSnpHcUJBU0lfemR2U3RESENQNG85ckg1bEFNSXMtQkV2NU5ZMmxBeEVHVThxWlZqSDlSQmNhcFN1Y3NMSGxYUDZoeVNiaUhScmFuWnBYeEEyaEVTY1hyZ1lzYnBqNk95anRESEhUSWtkTFdNdW5pRHFFeUpITjNuRllGX2tYMktSUTJ0R1JOcDVQbWRmTDlfSFM4V040VnZ4NldVRUJGWnN0OVc2UQ?oc=5,google_rss_메타 site:etnews.com when:2d,310.5,11.0,market_power_platform,market_power_platform,"SKT,메타",,,,,,,general,14.0,published_yesterday,general,global_incident:platform_regulation:meta:platform_regulation,rumor_or_report,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,telco,310.5,market_power_platform,competitor:regulatory_enforcement,global_incident:platform_regulation:meta:platform_regulation:announcement,global_incident:platform_regulation:meta:platform_regulation,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_strategy,global_incident:platform_regulation:meta:platform_regulation,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_STRATEGY,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:platform_regulation:meta:platform_regulation,comp_domestic_strategy,,,,
2496,경쟁사/해외이슈,경쟁사_해외이슈,쿠팡,"[속보] 법원 “쿠팡 ‘동일인’ 김범석 지정 공정위 처분, 판결 확정시까지 효력정지”",법원 쿠팡 동일인 김범석 지정 공정위 처분 판결 확정시까지 효력정지,헤럴드경제,헤럴드경제,"Tue, 14 Jul 2026 04:48:24 GMT","[속보] 법원 “쿠팡 ‘동일인’ 김범석 지정 공정위 처분, 판결 확정시까지 효력정지” 헤럴드경제",https://news.google.com/rss/articles/CBMiV0FVX3lxTFBQZVdDQm1PZGV1RDNDa1c1YU5XRENNaFJTU2FLQW9lRk9XWnlmS0JjWlJHTnJEN1BxOGRWdmZycWRwdlZMU0V3cVpqcVFLMVh1ZlY1SzZPMA?oc=5,google_rss_쿠팡 site:heraldcorp.com when:2d,310.25,48.5,"antitrust_platform,legal_regulatory_enforcement,strategy_mna_governance",antitrust_coupang_identity,"공정위,쿠팡",,,,,,,general,29.0,published_today+exclusive_breaking,direct_risk,global_incident:platform_regulation:coupang:coupang_designation_disclosure,penalty_or_sanction,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,coupang_competitor_enforcement_or_risk,Y,coupang,310.25,"legal_regulatory_enforcement,strategy_mna_governance",government:regulatory_enforcement,global_incident:platform_regulation:coupang:coupang_designation_disclosure:policy_change,global_incident:platform_regulation:coupang:coupang_designation_disclosure,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_strategy,global_incident:platform_regulation:coupang:coupang_designation_disclosure,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_STRATEGY,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:platform_regulation:coupang:coupang_designation_disclosure,comp_domestic_strategy,,,,
2243,경쟁사/해외이슈,경쟁사_해외이슈,SKT,"SKT, 정부 독자 AI 파운데이션 모델 컨소시엄에 SK AX·테크노매트릭스 추가 합류",skt 정부 독자 ai 파운데이션 모델 컨소시엄에 sk ax 테크노매트릭스 추가 합류,넥스트데일리,넥스트데일리,"Tue, 14 Jul 2026 01:06:13 GMT","SKT, 정부 독자 AI 파운데이션 모델 컨소시엄에 SK AX·테크노매트릭스 추가 합류 넥스트데일리",https://news.google.com/rss/articles/CBMib0FVX3lxTE9UUnhFQXJBQlkwZnhNNl9BdEF3eU9EN0hNRlFqOWpuVHNWM1FmMmFGSTVqMGMyMlVkcG50VjN2M3RlVjByRl9BUXI2VnJ3eUFQQ1hrX2YwOWlQNVBSeUd4OUtDWE13TWIzUHZEejhnWdIBc0FVX3lxTFBrS3lsTk9GaDRRZkNyOGVlbDNwbVFBWUZZbmpQLXE3X2V0RTlHVjBpSHpIR19NNEhPMmtWendzWm11Z19zalNtcWEwOUlWUHc3MXRrbzRWVVBnZU56aHVucF92SGFncmdBMGFVYVVTMU5LWU0?oc=5,google_rss_SKT when:2d,306.0,18.0,"ai_infrastructure_security,strategy_mna_governance",ai_infrastructure_security,SKT,,,,,,,general,24.0,published_today,business_change,event:SKT:ai_infrastructure_security+strategy_mna_governance,general,,"insufficient_industry_basis:actor=True,change=False,bridge=False",1,naver_telco_strategy_or_infra,Y,telco,306.0,"strategy_mna_governance,ai_infrastructure_security",government:tech_security_policy,,,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_domestic_public_infra,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨,local_low_confidence,,,COMP_DOMESTIC_PUBLIC_INFRA,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_public_infra,,,,
