검색어,후보제목,후보링크,후보언론사,매칭과거일자,매칭과거제목,매칭과거링크,중복판정이유,공유주체,공유사건태그,종합점수,제목점수,토큰점수,본문점수,후보대표점수,원문날짜,날짜검증결과,제외단계,v20_issue_id,v20_issue_group,매칭대표점수
카카오,100억 들여 공연장 이름 단 카카오…브랜드 가치 키운다,https://news.google.com/rss/articles/CBMiT0FVX3lxTE9QUDRYLUt1Si15UndkbHNCM2hFdkxNLS1RQmtzRG9ZMndXUDZhbU1Hem05OWlkbDNVaUZ3UFEzMTlDQmtRWHJaa1FzNlJQbUk?oc=5,v.daum.net,CURRENT_COLLECTION,canonical_seen,,same_canonical_title_same_press,,,,,,,,,,,,,
카카오,"카카오, 옴니모달 AI '카나나-오' 영상 시리즈 공개",https://news.google.com/rss/articles/CBMiYEFVX3lxTE5LazFOMTVaSDdkNzhVc3Y3RF85azhLelFzTmg2R0dmdVBPRmVmMGpvYUdYcTlJQ01hSzJibnhqSEZXZFFrRTM0SWQwNk5mR0JpT21MN2hrTXA2UklCMUhMc9IBYEFVX3lxTE5LazFOMTVaSDdkNzhVc3Y3RF85azhLelFzTmg2R0dmdVBPRmVmMGpvYUdYcTlJQ01hSzJibnhqSEZXZFFrRTM0SWQwNk5mR0JpT21MN2hrTXA2UklCMUhMcw?oc=5,연합뉴스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오, 넉살·조나단과 손잡고 옴니모달 AI '카나나-오' 대중화 시동",https://news.google.com/rss/articles/CBMiakFVX3lxTE1oYlM0c2Fhbk5kNnFWTlYtUmpPRVd2b3JhR3F1NzdodHpxYjhCMmNVTWlVUnJxVm5Ud3FCYzJtVGRDNnJnbmVIRTJaR2tZZklhQk53dk5ZNEtqSk1ScmpXSmtPWVF2aEdHZmc?oc=5,AI타임스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오, AI 실험 넘어 이용자 확보 승부수…서비스 확산 본격화",https://news.google.com/rss/articles/CBMib0FVX3lxTFB6VGVyR1BDSDAxTEloVWZOTkRkZlJhTDN0LTRkbGFWQWNDaU5ldk53bkQ1blV2NXA0RkVxcE5lMEJULXpfT0pCZF9kcndlaFFqSnZYQ0NsUkdxNHJDSm5ZYUMzVVlIQzlvU0xVMVFpaw?oc=5,위키리크스한국,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오, ‘카나나 오리지널’ 공개…카나나-오 활용 사례 소개",https://news.google.com/rss/articles/CBMiaEFVX3lxTE5zbkgxUnZHS2FrbmVXRTc4U29vNldSaGg3OUdvZkxPazNKX2ZEQ21RcG9tampHUnlkYWNWeEpPSnR0aTdJVm02cHRtZ1kza3hBQnladHRXYVUzZjJqMnBhU3VpdHpVd3px?oc=5,테크월드,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오, 독자 개발 AI 모델 ‘카나나-오’ 공개",https://news.google.com/rss/articles/CBMiZEFVX3lxTFBaZTFBSnVjTjVfTkRhQXR3bUJURUtnYUhCblVjMUZlbkQwWmR0akZDbXhOM1lQUGY1UGNqUnFKZGtTR3B5bjB6aGFuNURTS2lRb1lZMU1xNGhFd2RJVEk3OFFIUDg?oc=5,매일일보,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오, 옴니 AI 모델 ‘카나나-오’ 소개 영상 공개 |",https://news.google.com/rss/articles/CBMidEFVX3lxTE1DaHVjYUFmQlZWbnNnYUtYVEpWQmtlRWxmdDc1MmNMcWxzY2luVUVZOGZOd3c4OFEwWXJqT1ZPZlNHa2RIcFg4SFJzYVZvVDBfQWVYME5DdkNvcUtLd25GRXFkNURIaGhrWEx6TnJQVzRzVTZu?oc=5,IT조선,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,CISO·CPO 분절된 권한 잇다... 카카오엔터테인먼트가 제시한 ‘통합 거버넌스’,https://news.google.com/rss/articles/CBMibkFVX3lxTFBHZjFHcFhKTEdOeGhCNTlSZ1k5U1k3VTFVR0xUTlFXUm1pRHlzWk1kZE9YaHVNUXljejY1TnUyWkdZeVIyYkU2Vm9MRW9mN0lfTXdrS215SzhlN2JEd240SkhGdHU2T2FKVFU0N0RR?oc=5,보안뉴스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"[IT 투데이] 카카오, 옴니 AI 모델 '카나나-오' 영상 공개 外",https://news.google.com/rss/articles/CBMiVkFVX3lxTFBBYWMweGYySzJLWVF0VHdRSF9nLWktTWk4aGY5ODFmcGRnYzRTQjFSdkFmbjg4UDgwNHFzZGhhekxtNjRNT3lfT2pBVm1uY21xWHl3RHR3?oc=5,DealSite경제TV,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"기아, 카카오모빌리티와 자율주행 전용 PBV 개발",https://news.google.com/rss/articles/CBMiTkFVX3lxTE9SdEtsdXpiSmpON3pEQWdjU1U3amZ4Rk96S2FVUnVqaFVYeFp1NWVzRVBNenNzeEp4NldCZ1F3TlVTQ3NqYzRtcllHZDAydw?oc=5,전자신문,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"하나투어, 카카오톡에 ‘하이(H-AI)’ 연동",https://news.google.com/rss/articles/CBMibkFVX3lxTE9fRk9kSExyb1BRTXJ4Y3dWSlpTQWhTOUh6V21NR3hXQVNSNVVreHhWSEttOHh4TFA5NXBfTWprZDgtX1d0SnR5ZzNqMzVPU2hnXzd0Sk9NckJtNjBCYkVOaFFjdEVfcEJGZ0V4dC1R?oc=5,중소기업신문,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"기아, 카카오모빌리티와 ‘자율주행 전용 차량’ 개발 맞손",https://news.google.com/rss/articles/CBMiWkFVX3lxTE94OHJmMUxhdDZwSGFndmlyWTN4aGJGeWg4V251U1dMUU54NDExODl6V080UjBNdXk4Rjg2RDZuX2lnYVY5NmV2S3c0SVNlLURXSy1ZM0JtTk1JZ9IBX0FVX3lxTFBFc3dQNXFYeVB6ZG02NDdKNlBNVUgzajF6V3RnR09PQzVfVVZDWTF4Um5FRUFGVWNZWDBJQWJRSFRFQWdwbEx6enNZbFdpbVNrbklfVGs4ZWdxZFgxcVhZ?oc=5,경향신문,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오엔터 베리즈, 삼성라이온즈×라이언 협업 MD 출시",https://news.google.com/rss/articles/CBMiVkFVX3lxTE9iQ0YzRGZ0YUNQbm94VThfTk44NFo3RW1Zc09CMEgtdjFIcHZfN1hxanZlUTlVMHU2a1FTdzNUVlJyLWthM3JxQ0FDX0R1N2JDZldqejdR?oc=5,지디넷코리아,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"하나투어, AI 여행 서비스 카카오톡 연동…고객 접점 확대",https://news.google.com/rss/articles/CBMiXEFVX3lxTE9CWjViT1JZY1FBN00tVUotdnMwTmxnRDBZZlgxU1F2ekc5QjkwOTdtaGt6bVRzQjRMdm1VTUN1aUt2dE9TUDlCYzZTU2JVZWVCcEtub0V3Y1ZQUldj?oc=5,뉴스핌,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"기아, 카카오모빌리티와 자율주행 전용 PBV 개발 맞손",https://news.google.com/rss/articles/CBMicEFVX3lxTFB0UTJkM2pWWEhJd29IU19ILUx6eXRYN0hqYk1sWFlGNDBMclBQZ2V4UjZ2RmFhUExnSmJvYnF0MHozN1QwY0hsQzZ3V2dHRHVGbEtnbmxRVmJVVGIyVHRmYVJjMzRRZUxLOEJZSWxqSDE?oc=5,연합인포맥스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
