id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,정책규제의무,강제검토,강제검토사유,자사홍보성,이슈패밀리,코드힌트,오늘성점수,오늘성사유,기사유형,v26이벤트키,v26진행단계,v27_industry_ok,v27_industry_reason,v27_industry_score,v32_competitor_basis,v32_competitor_portfolio,v32_actor_group,랭킹원점수,편집신호,스토리버킷,전역사건키,전역사건기본키,Gemini카테고리,Gemini내부카테고리,Gemini이슈패밀리,Gemini이슈그룹,Gemini관련성,Gemini중요도,Gemini대외협력중요도,Gemini관련도,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini정책영향경로,Gemini경쟁시사점,Gemini중복그룹,Gemini이슈유형,v26가드레일사유,v26_2_profile_reason
2085,경쟁사/해외이슈,경쟁사_해외이슈,KT,"KT, 2분기 영업이익 36% 줄어든 6483억원…AX·데이터센터는 성장세",kt 2분기 영업이익 36 줄어든 6483억원 ax 데이터센터는 성장세,이코노뉴스,이코노뉴스,"Wed, 12 Aug 2026 01:04:38 GMT","KT, 2분기 영업이익 36% 줄어든 6483억원…AX·데이터센터는 성장세 이코노뉴스",https://news.google.com/rss/articles/CBMibkFVX3lxTE1KMzhWSnNaU1dIR1FadG1LX094LTR3ck1ieE5pcnNCZmY4MXJjcGx6V2lIQzAzdFg0V1FpUFdjWlNCcmtWT2pJVlplaFVOeHNCbXZxUG5rcFlUNzNaTUxWR25kSWJvVmJadWNFa05R?oc=5,google_rss_KT when:2d,386.0,42.0,"ai_infrastructure_security,earnings,financial_performance",ai_infrastructure_security,KT,,,,,,,general,24.0,published_today,business_change,event:KT:ai_infrastructure_security+financial_performance,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,386.0,"financial_performance,ai_infrastructure_security",competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,,
2088,경쟁사/해외이슈,경쟁사_해외이슈,KT,"통신사에서 'AX 플랫폼'으로…KT, AI·클라우드 매출 22.3% 성장",통신사에서 ax 플랫폼 으로 kt ai 클라우드 매출 22 3 성장,이코노미사이언스,이코노미사이언스,"Wed, 12 Aug 2026 02:20:24 GMT","통신사에서 'AX 플랫폼'으로…KT, AI·클라우드 매출 22.3% 성장 이코노미사이언스",https://news.google.com/rss/articles/CBMib0FVX3lxTE9Ba1R1eWg5WkJuYkNhUmZETklkZFJEcU9WcGJrTFZldl8wck9fS0VQMWRFUHcwemM5c0NiSktrWHpTejhjY3Z2aFhIRnRMdkFSaEhLbmhqQW5EOW43OEprUzB4S2FwcUl3T2Z3RUdjRQ?oc=5,google_rss_KT when:2d,355.0,43.0,"ai_infrastructure_security,earnings,financial_performance,market_power_platform",ai_infrastructure_security,KT,,,,,,,general,24.0,published_today,business_change,global_incident:platform_regulation:kt:platform_regulation,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,355.0,"market_power_platform,financial_performance,ai_infrastructure_security",competitor:regulatory_enforcement,global_incident:platform_regulation:kt:platform_regulation:general,global_incident:platform_regulation:kt:platform_regulation,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,,
1792,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버벤처스, 앤트로픽에 간접 투자…'AI 투트랙' 전략 속도 낸다",네이버벤처스 앤트로픽에 간접 투자 ai 투트랙 전략 속도 낸다,인사이트코리아,인사이트코리아,"Tue, 11 Aug 2026 08:17:22 GMT","네이버벤처스, 앤트로픽에 간접 투자…'AI 투트랙' 전략 속도 낸다 인사이트코리아",https://news.google.com/rss/articles/CBMic0FVX3lxTE13ckkwRFRUWnJWLW9xYVZWM1dFZFBtOGwwMEJJV1lQdTd1UVJpMjdFb05SdUl3Tm5TQXdSQ01jdnlPWWZrUzM1NThOOHN5QTVXZG1KbnZZOEQ0b0c2dzl6U1VHZnR3RXpzaHRpT3E0dnZ1XzDSAXdBVV95cUxQUC1FWnU1MTVneTN4djhNNklCUVRVdkFfZVBEcHBZLXlxRER3azk4X1BOZ1RNc1RIRk5XN1VIRlUzZnMyRjNiMURaNDA2cWFnSldrVnB2dmNidDlTMEhxN2ZQSmpNZXRleERJNlg5UGRBTHdyRWFZUQ?oc=5,google_rss_네이버 AI when:2d,355.0,20.5,"ai_infrastructure_security,policy_legislation",ai_infrastructure_security,"네이버,앤트로픽",,,,,,,general,14.0,published_yesterday,business_change,global_incident:ai_security_policy:naver:anthropic_glasswing_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,355.0,"policy_legislation,ai_infrastructure_security",competitor:ai_strategy,global_incident:ai_security_policy:naver:anthropic_glasswing_security:general,global_incident:ai_security_policy:naver:anthropic_glasswing_security,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,global_incident:ai_security_policy:naver:anthropic_glasswing_security,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:ai_security_policy:naver:anthropic_glasswing_security,comp_domestic_ai_platform,,
1776,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버, AI ‘클로드’ 개발사 앤트로픽에 간접 투자",네이버 ai 클로드 개발사 앤트로픽에 간접 투자,서울경제TV,서울경제TV,"Tue, 11 Aug 2026 00:12:36 GMT","네이버, AI ‘클로드’ 개발사 앤트로픽에 간접 투자 서울경제TV",https://news.google.com/rss/articles/CBMiZEFVX3lxTE11dUJMbndjSWs2YkduVlk5dHN6NElwVmlWZFlGcXpJN2RhY2h0VzA1SjVBNzF4M3hIaHRvakxtU1hzNm5GdjNqN3NHOWl4TW9NQU5jSjc3OHhTa1J6aDF1UjlTWlA?oc=5,google_rss_네이버 AI when:2d,353.0,16.5,"ai_agent,ai_infrastructure_security",ai_infrastructure_security,"네이버,앤트로픽",,,,,,,general,14.0,published_yesterday,business_change,global_incident:ai_security_policy:naver:anthropic_glasswing_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,353.0,ai_infrastructure_security,competitor:ai_strategy,global_incident:ai_security_policy:naver:anthropic_glasswing_security:general,global_incident:ai_security_policy:naver:anthropic_glasswing_security,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,global_incident:ai_security_policy:naver:anthropic_glasswing_security,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:ai_security_policy:naver:anthropic_glasswing_security,comp_domestic_ai_platform,,
1761,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버벤처스, 앤트로픽에 간접 투자…‘클로드’ 활용 확대하나",네이버벤처스 앤트로픽에 간접 투자 클로드 활용 확대하나,AI타임스,AI타임스,"Tue, 11 Aug 2026 07:49:24 GMT","네이버벤처스, 앤트로픽에 간접 투자…‘클로드’ 활용 확대하나 AI타임스",https://news.google.com/rss/articles/CBMiakFVX3lxTE10TFZsMkpaSDVnYmR6MDNPc0dDUTRpY2UyQWtiQXowakhTbW5TRm9kazlzSFNKVXJscGpFTXFvLWlHNDgtLVBSTHpYdnJtM1ZKOF9Mamw4S2R3Vkc1dDRQank0OGF0WkZPRnc?oc=5,google_rss_네이버 AI when:2d,351.0,16.5,"ai_agent,ai_infrastructure_security",ai_infrastructure_security,"네이버,앤트로픽",,,,,,,general,14.0,published_yesterday,business_change,global_incident:ai_security_policy:naver:anthropic_glasswing_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,351.0,ai_infrastructure_security,competitor:ai_strategy,global_incident:ai_security_policy:naver:anthropic_glasswing_security:general,global_incident:ai_security_policy:naver:anthropic_glasswing_security,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,global_incident:ai_security_policy:naver:anthropic_glasswing_security,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:ai_security_policy:naver:anthropic_glasswing_security,comp_domestic_ai_platform,,
1786,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버, AI '클로드' 개발사 앤트로픽에 간접 투자",네이버 ai 클로드 개발사 앤트로픽에 간접 투자,아이뉴스24,아이뉴스24,"Mon, 10 Aug 2026 21:57:44 GMT","네이버, AI '클로드' 개발사 앤트로픽에 간접 투자 아이뉴스24",https://news.google.com/rss/articles/CBMiS0FVX3lxTE55UnJtZVU5Vk9IcFhWbG1oeGFTNVdfU3ZlRzRMOWRWbWZyRlZxWlFDekswZmdnR19QdUJiQmlEYXE4UkRGc2pSd2dZQQ?oc=5,google_rss_네이버 AI when:2d,351.0,16.5,"ai_agent,ai_infrastructure_security",ai_infrastructure_security,"네이버,앤트로픽",,,,,,,general,14.0,published_yesterday,business_change,global_incident:ai_security_policy:naver:anthropic_glasswing_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,351.0,ai_infrastructure_security,competitor:ai_strategy,global_incident:ai_security_policy:naver:anthropic_glasswing_security:general,global_incident:ai_security_policy:naver:anthropic_glasswing_security,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,global_incident:ai_security_policy:naver:anthropic_glasswing_security,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:ai_security_policy:naver:anthropic_glasswing_security,comp_domestic_ai_platform,,
1901,경쟁사/해외이슈,경쟁사_해외이슈,네이버,엔비디아 손잡은 네이버…'초대형 AI 공장' 짓고 수출길 연다,엔비디아 손잡은 네이버 초대형 ai 공장 짓고 수출길 연다,한국경제,한국경제,"Tue, 11 Aug 2026 06:57:27 GMT",엔비디아 손잡은 네이버…'초대형 AI 공장' 짓고 수출길 연다 한국경제,https://news.google.com/rss/articles/CBMiWkFVX3lxTE16b2ZQQms1bDRseDJBRHRPSnRXb2w1QXlBR0thdXJ0MnhLcmJibFNCdkRqb0dQdU52UzdpR3dBLW5aUDlqdXlIQVMydGI3WmUyc1o2OXpHMUJ4dw?oc=5,google_rss_네이버 site:hankyung.com when:2d,350.0,13.5,ai_infrastructure_security,ai_infrastructure_security,네이버,,,,,,,general,14.0,published_yesterday,business_change,event:네이버:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,350.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:엔비디아 손잡은 네이버 초대형 ai 공장 짓고 수출길 연다,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:엔비디아 손잡은 네이버 초대형 ai 공장 짓고 수출길 연다,comp_domestic_ai_platform,,
1869,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"엔비디아 이어 앤트로픽까지…네이버, 글로벌 AI 동맹 확대",엔비디아 이어 앤트로픽까지 네이버 글로벌 ai 동맹 확대,MTN 머니투데이방송,MTN 머니투데이방송,"Tue, 11 Aug 2026 08:35:15 GMT","엔비디아 이어 앤트로픽까지…네이버, 글로벌 AI 동맹 확대 MTN 머니투데이방송",https://news.google.com/rss/articles/CBMiZEFVX3lxTE03TjJvQmhlS2NpY3BiT0UzSVZYTjE3c1l0c1VaZlZfYzRuWEg4SVVQdVZ0bXUwaWpUVXBhOWh5UXB5RHdjN2pGUUtFV1NCVkZuVXVmSHRMcnNBU0JiUENnQWNCbjk?oc=5,google_rss_네이버 스테이블코인 when:2d,349.0,13.5,ai_infrastructure_security,ai_infrastructure_security,"네이버,앤트로픽",,,,,,,general,14.0,published_yesterday,business_change,global_incident:ai_security_policy:naver:anthropic_glasswing_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,349.0,ai_infrastructure_security,competitor:ai_strategy,global_incident:ai_security_policy:naver:anthropic_glasswing_security:general,global_incident:ai_security_policy:naver:anthropic_glasswing_security,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,global_incident:ai_security_policy:naver:anthropic_glasswing_security,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:ai_security_policy:naver:anthropic_glasswing_security,comp_domestic_ai_platform,,
1802,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"AI 검색 확대에 구글, 네이버 앞섰다···챗GPT도 이용자 폭증",ai 검색 확대에 구글 네이버 앞섰다 챗gpt도 이용자 폭증,뉴스웨이,뉴스웨이,"Tue, 11 Aug 2026 04:16:43 GMT","AI 검색 확대에 구글, 네이버 앞섰다···챗GPT도 이용자 폭증 뉴스웨이",https://news.google.com/rss/articles/CBMiakFVX3lxTE9ERGFFRllQYUJwLWUyZzNva1lDbVVxdjlaaldyZFNDNF8tMHRoQjRPaThoZXYtVUFHSlVhY1dvdkNWWGNadHVPcF8xakFtcFJ4Wmh2ekl6ZzZ0dlhGbE52S2FKTm01aUhPSkE?oc=5,google_rss_네이버 AI when:2d,348.5,61.5,"ai_infrastructure_security,search_ads",ai_infrastructure_security,"구글,네이버,오픈AI",,Y,,,,competitor:platform_obligation,platform_operator_obligation,14.0,published_yesterday,business_change,global_incident:platform_regulation:naver:platform_algorithm_ad_obligation,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,348.5,ai_infrastructure_security,competitor:platform_obligation,global_incident:platform_regulation:naver:platform_algorithm_ad_obligation:general,global_incident:platform_regulation:naver:platform_algorithm_ad_obligation,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,global_incident:platform_regulation:naver:platform_algorithm_ad_obligation,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:platform_regulation:naver:platform_algorithm_ad_obligation,comp_domestic_ai_platform,,
1954,경쟁사/해외이슈,경쟁사_해외이슈,SKT,"SKT, 데이터센터 확장 글로벌 통신사 1위…소프트뱅크·NTT 제쳐",skt 데이터센터 확장 글로벌 통신사 1위 소프트뱅크 ntt 제쳐,아이뉴스24,아이뉴스24,"Tue, 11 Aug 2026 07:42:27 GMT","SKT, 데이터센터 확장 글로벌 통신사 1위…소프트뱅크·NTT 제쳐 아이뉴스24",https://news.google.com/rss/articles/CBMiS0FVX3lxTE12N0UxWUNHdWhXSUZTSGx6bDB1S3N3dlRoOE1zLTVNa29lNFpzNW9BSk90bGlsaGhEcTRBWlRzZ0MxSWFtUllENUpOWQ?oc=5,google_rss_SKT when:2d,348.5,14.0,ai_infrastructure_security,ai_infrastructure_security,SKT,,,,,,,general,14.0,published_yesterday,general,event:SKT:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,348.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:skt 데이터센터 확장 글로벌 통신사 1위 소프트뱅크 ntt 제쳐,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:skt 데이터센터 확장 글로벌 통신사 1위 소프트뱅크 ntt 제쳐,comp_domestic_ai_platform,,
