id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,정책규제의무,강제검토,강제검토사유,자사홍보성,이슈패밀리,코드힌트,오늘성점수,오늘성사유,기사유형,v26이벤트키,v26진행단계,v27_industry_ok,v27_industry_reason,v27_industry_score,v32_competitor_basis,v32_competitor_portfolio,v32_actor_group,랭킹원점수,편집신호,스토리버킷,전역사건키,전역사건기본키,Gemini카테고리,Gemini내부카테고리,Gemini이슈패밀리,Gemini이슈그룹,Gemini관련성,Gemini중요도,Gemini대외협력중요도,Gemini관련도,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini정책영향경로,Gemini경쟁시사점,Gemini중복그룹,Gemini이슈유형,v27_event_key,v26가드레일사유,v26_2_profile_reason,v32_weak_non_digital_gov
1541,경쟁사/해외이슈,경쟁사_해외이슈,KT,"kt cloud, 다음달 ‘서밋 2026’ 개최…AIDC·클라우드 기반 AX 전략 공유",kt cloud 다음달 서밋 2026 개최 aidc 클라우드 기반 ax 전략 공유,econonews.co.kr,econonews.co.kr,"Tue, 18 Aug 2026 00:30:00 GMT","kt cloud, 다음달 ‘서밋 2026’ 개최…AIDC·클라우드 기반 AX 전략 공유 econonews.co.kr",https://news.google.com/rss/articles/CBMibkFVX3lxTE02Ty1nS1NTWDMzdFlJSFpGX0pHaGF4dXFJa1hwQ1VxQTZSTGx3bWduTXdRVW9yb1A2YkhQVDZ6N3lOSnoxcFZrSk1lWHdWNUswVzgzYngyM1YtRnlDOC0tSnJMUmt2RDVxdUMxN2V3?oc=5,google_rss_KT when:2d,335.0,28.0,"ai_infrastructure_security,aidc_datacenter,policy_legislation",aidc_general,KT,,,,,,,general,24.0,published_today,business_change,event:KT:ai_infrastructure_security+aidc_datacenter,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,335.0,"policy_legislation,ai_infrastructure_security",self:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_ai_platform,,,,
1545,경쟁사/해외이슈,경쟁사_해외이슈,KT,"KT, B2B AX '잰걸음'...'유통·의료·AIDC' 공략 확대",kt b2b ax 잰걸음 유통 의료 aidc 공략 확대,테크M,테크M,"Tue, 18 Aug 2026 00:56:23 GMT","KT, B2B AX '잰걸음'...'유통·의료·AIDC' 공략 확대 테크M",https://news.google.com/rss/articles/CBMiZkFVX3lxTE52UTBGS0pCenhoZU9wekFBM2ZtQmtDaEZOWXh6N3B4R0x2UmF0dGNaRFdkU3A3TVJpY0hrNzRSdW9rQUxWMGZ5TnpGT2w2dkNjb3c1Zm9GeUZfVm5Wak1fZnZDem1GZ9IBakFVX3lxTE5vOUpJV0s4d2Jmb19SYjQwd1cxOVVHb3E4cXBWcVNoVXgtTGloVDNkVTZ2NHdkZ0dvOHNWLWNRS3UxZmtyNGVXN3g0Qy1JRENYRW5lYUg4VXAyTWRONVFqaWNCTkhwcjhpYUE?oc=5,google_rss_KT when:2d,327.0,21.0,"ai_infrastructure_security,aidc_datacenter",aidc_general,KT,,,,,,,general,24.0,published_today,business_change,event:KT:ai_infrastructure_security+aidc_datacenter,general,Y,"industry_basis_pass:actor=True,change=True,bridge=False",2,naver_telco_strategy_or_infra,Y,telco,327.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_ai_platform,,,,
1567,경쟁사/해외이슈,경쟁사_해외이슈,KT,"KT클라우드, AI 인프라부터 서비스까지…'KT 클라우드 서밋 2026'서 AX 전략 공개",kt클라우드 ai 인프라부터 서비스까지 kt 클라우드 서밋 2026 서 ax 전략 공개,네이트,네이트,"Tue, 18 Aug 2026 01:28:00 GMT","KT클라우드, AI 인프라부터 서비스까지…'KT 클라우드 서밋 2026'서 AX 전략 공개 네이트",https://news.google.com/rss/articles/CBMiU0FVX3lxTE5hdkZ6MGNicVlWeUVuSTROZklCY2FxaURuWlVGTDhqVkozVG5GcE40S1dtT2h1V0UzMERyeHlfQXNPc21ZQ3BXQkJkTlh6T0pGMDRB?oc=5,google_rss_KT when:2d,324.0,18.0,"ai_infrastructure_security,policy_legislation",ai_infrastructure_security,KT,,,,,,,general,24.0,published_today,business_change,event:KT:ai_infrastructure_security+policy_legislation,rumor_or_report,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,telco,324.0,"policy_legislation,ai_infrastructure_security",competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_ai_platform,,,,
1510,경쟁사/해외이슈,경쟁사_해외이슈,KT,"AI 열 식힐 액체냉각부터 클라우드까지…kt cloud, AX 전략 공개",ai 열 식힐 액체냉각부터 클라우드까지 kt cloud ax 전략 공개,뉴스퀘스트,뉴스퀘스트,"Tue, 18 Aug 2026 01:05:08 GMT","AI 열 식힐 액체냉각부터 클라우드까지…kt cloud, AX 전략 공개 뉴스퀘스트",https://news.google.com/rss/articles/CBMib0FVX3lxTE9Od09qcklocDJ3R2Y0Vjd0LUFWRld3a1ZicUlrN01tQXhjTFVKMkwxVDBCa1B0Z3gydDAwcWZiVHdkc0d3WnZmdS1xUnVPQzFPR1Q0NGpxWXdPYzVNUHNlNXgySVViN3lISTZPSWxlTdIBc0FVX3lxTFBwaVJxVnZFUDc4R2JvYXlxc0xUODVVWGF6VTZYWWEzVm81Q1RMbFB0VFp4NWRFNWoxTTlPOXJtWFREOXpZd2hqdEhPLVdjaURpRGV1ck1GQjFvczhtc19peWR4Mk5Jc3E0NUczY2kxRXBobGs?oc=5,google_rss_KT when:2d,324.0,18.0,"ai_infrastructure_security,policy_legislation",ai_infrastructure_security,KT,,,,,,,general,24.0,published_today,business_change,event:KT:ai_infrastructure_security+policy_legislation,rumor_or_report,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,telco,324.0,"policy_legislation,ai_infrastructure_security",competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,,,,
1507,경쟁사/해외이슈,경쟁사_해외이슈,KT,"KT, 농협경제지주·한국MS와 유통 AX 혁신…'에이전틱 AI' 도입",kt 농협경제지주 한국ms와 유통 ax 혁신 에이전틱 ai 도입,아이뉴스24,아이뉴스24,"Mon, 17 Aug 2026 23:59:24 GMT","KT, 농협경제지주·한국MS와 유통 AX 혁신…'에이전틱 AI' 도입 아이뉴스24",https://news.google.com/rss/articles/CBMiS0FVX3lxTE5DYVNZMXhnUjlUVFg0RWpYaVUteENSc1NLb2pIMFVmSnlLVmwyNmVaalRTczhFVTBNWWsta2hRWnppc19UV1dJUG4yQQ?oc=5,google_rss_KT when:2d,323.0,14.0,"ai_agent,ai_infrastructure_security",ai_infrastructure_security,KT,,,,,,,general,24.0,published_today,business_change,event:KT:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,telco,323.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,,,,
1527,경쟁사/해외이슈,경쟁사_해외이슈,KT,"kt cloud, 9월 ‘클라우드 서밋’ 개최…AX 실행 전략 공유",kt cloud 9월 클라우드 서밋 개최 ax 실행 전략 공유,dailian.co.kr,dailian.co.kr,"Tue, 18 Aug 2026 01:02:00 GMT","kt cloud, 9월 ‘클라우드 서밋’ 개최…AX 실행 전략 공유 dailian.co.kr",https://news.google.com/rss/articles/CBMizgFBVV95cUxQNVFrZGp1cTg3M3hVQjE4ZE9mdXhOODIxaTc5TUZqaERfd0hvUEtaTjF3ZF91ZFlvcDZoNXF2SzdnTDhBYUpjY3VGUEdSOHR6ZWR1ZzNXR3JYS2xDQlliLTB3a0R3bUxTRHNrYm11YklRazBDWnJJaVFWaUE4ajZfNkFfV1NULVl0WnlqazlxTVlxejBuWElRb1RWNm1SYno0SnQxanIyVGJBY1pFci0zNEZmYkIwQ1l4emgyS0tyUktlY3RhR0FyOG1FbFlOUQ?oc=5,google_rss_KT when:2d,322.0,18.0,"ai_infrastructure_security,policy_legislation",ai_infrastructure_security,KT,,,,,,,general,24.0,published_today,business_change,event:KT:ai_infrastructure_security+policy_legislation,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,322.0,"policy_legislation,ai_infrastructure_security",competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,,,,
1559,경쟁사/해외이슈,경쟁사_해외이슈,KT,"KT, 농협경제지주·한국MS와 유통 AX 혁신…'에이전틱 AI' 도입",kt 농협경제지주 한국ms와 유통 ax 혁신 에이전틱 ai 도입,네이트,네이트,"Tue, 18 Aug 2026 00:00:00 GMT","KT, 농협경제지주·한국MS와 유통 AX 혁신…'에이전틱 AI' 도입 네이트",https://news.google.com/rss/articles/CBMiYEFVX3lxTFBtSHZwbEExOUhCLS1HcnNHZi1QWkNYWmxUYWEwX0V2Nk13SnF5Yk11Q2U0TTdTVXIwOXpWSzViTkZTNFBxb0s4eERhdjlVbXR6YVhaM3R0MW9OVG5fSkc1bg?oc=5,google_rss_KT when:2d,320.0,14.0,"ai_agent,ai_infrastructure_security",ai_infrastructure_security,KT,,,,,,,general,24.0,published_today,business_change,event:KT:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,telco,320.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,,,,
1542,경쟁사/해외이슈,경쟁사_해외이슈,KT,"KT, 농협몰 클라우드 전환 이어 AI 혁신…농협·한국MS와 협력",kt 농협몰 클라우드 전환 이어 ai 혁신 농협 한국ms와 협력,마이데일리,마이데일리,"Tue, 18 Aug 2026 01:23:27 GMT","KT, 농협몰 클라우드 전환 이어 AI 혁신…농협·한국MS와 협력 마이데일리",https://news.google.com/rss/articles/CBMiYEFVX3lxTE5QMFRfM3VQMnNvSjdMN1B1VWhld1ppOFNsSUg0QjUzMmJ6Z21LcnZBWk90SG9PSmdhUE9qeEc2d3NNREpXX0VPUmd2MHVMQkdTbDVpYTJ5SUFMVW9NMlM2Wg?oc=5,google_rss_KT when:2d,319.0,11.0,ai_infrastructure_security,ai_infrastructure_security,KT,,,,,,,general,24.0,published_today,business_change,event:KT:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,telco,319.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,,,,
1538,경쟁사/해외이슈,경쟁사_해외이슈,KT,"농협, KT·한국MS와 '클라우드 유통 AX' 협약... NH싱씽몰 AI 인프라로 농가 판로 뚫는다",농협 kt 한국ms와 클라우드 유통 ax 협약 nh싱씽몰 ai 인프라로 농가 판로 뚫는다,창업일보,창업일보,"Tue, 18 Aug 2026 01:30:39 GMT","농협, KT·한국MS와 '클라우드 유통 AX' 협약... NH싱씽몰 AI 인프라로 농가 판로 뚫는다 창업일보",https://news.google.com/rss/articles/CBMiaEFVX3lxTE9maTVYc2dFWHplX1k0a2plYkJORndYZmZfWGVZcm9IWDNvX2NELVl0UnBUODN1OVliUTFlb1BwZ1dzVXVjWVljWG9SZlhZMWFXWU9xTkRzNlJRNDYtZEhuOV9FekVrd3E5?oc=5,google_rss_KT when:2d,314.0,11.0,ai_infrastructure_security,ai_infrastructure_security,KT,,,,,,,general,24.0,published_today,business_change,event:KT:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,telco,314.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_ai_platform,,,,
1550,경쟁사/해외이슈,경쟁사_해외이슈,KT,"KT, 농협몰 클라우드 전환 이어 AI 혁신…농협·한국MS와 협력",kt 농협몰 클라우드 전환 이어 ai 혁신 농협 한국ms와 협력,네이트,네이트,"Tue, 18 Aug 2026 01:24:00 GMT","KT, 농협몰 클라우드 전환 이어 AI 혁신…농협·한국MS와 협력 네이트",https://news.google.com/rss/articles/CBMiU0FVX3lxTFBjSkxxY1B2NDdGdlAwZ3VFWXFLdkUwdXF1elJXWi1SZzljcU9QZXREbE1oSW55UFRwTHRZSW8xemUxcV9BWjRXVXlHeUVYdTBkU3Zz?oc=5,google_rss_KT when:2d,314.0,11.0,ai_infrastructure_security,ai_infrastructure_security,KT,,,,,,,general,24.0,published_today,business_change,event:KT:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,telco,314.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,,,,
