id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,정책규제의무,강제검토,강제검토사유,자사홍보성,이슈패밀리,코드힌트,오늘성점수,오늘성사유,기사유형,v26이벤트키,v26진행단계,v27_industry_ok,v27_industry_reason,v27_industry_score,v32_competitor_basis,v32_competitor_portfolio,v32_actor_group,랭킹원점수,편집신호,스토리버킷,전역사건키,전역사건기본키,Gemini카테고리,Gemini내부카테고리,Gemini이슈패밀리,Gemini이슈그룹,Gemini관련성,Gemini중요도,Gemini대외협력중요도,Gemini관련도,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini정책영향경로,Gemini경쟁시사점,Gemini중복그룹,Gemini이슈유형,v26_2_profile_reason,v26가드레일사유,v32_weak_non_digital_gov
2083,경쟁사/해외이슈,경쟁사_해외이슈,SKT,"SKT, 앤트로픽 투자 ‘잭팟’…올해 상반기 평가익만 2조",skt 앤트로픽 투자 잭팟 올해 상반기 평가익만 2조,마이데일리,마이데일리,"Wed, 19 Aug 2026 01:38:59 GMT","SKT, 앤트로픽 투자 ‘잭팟’…올해 상반기 평가익만 2조 마이데일리",https://news.google.com/rss/articles/CBMiZkFVX3lxTFBZQ04taU90SnQyQ0pQV0JkX2NuOUd4OGctN0lKd21ndEhiWUhORXZpT1R2TmVsS0V2c2lvZHF1MUxKZFI0WFJxeWZyZHpqRUxDd01TRGFyMVFDcnlMY3hGWm5Ddnl3UQ?oc=5,google_rss_SKT when:2d,344.0,4.0,,,"SKT,앤트로픽",,,,,,,general,24.0,published_today,general,global_incident:ai_security_policy:skt:anthropic_glasswing_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,telco,344.0,,,global_incident:ai_security_policy:skt:anthropic_glasswing_security:general,global_incident:ai_security_policy:skt:anthropic_glasswing_security,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_strategy,global_incident:ai_security_policy:skt:anthropic_glasswing_security,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_STRATEGY,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:ai_security_policy:skt:anthropic_glasswing_security,comp_domestic_strategy,,,
2109,경쟁사/해외이슈,경쟁사_해외이슈,KT,"KT, 국산 NPU·LLM 결합 AI 서버 출시…공공·금융 AX 겨냥",kt 국산 npu llm 결합 ai 서버 출시 공공 금융 ax 겨냥,서울경제TV,서울경제TV,"Wed, 19 Aug 2026 00:56:37 GMT","KT, 국산 NPU·LLM 결합 AI 서버 출시…공공·금융 AX 겨냥 서울경제TV",https://news.google.com/rss/articles/CBMiZEFVX3lxTFB1cnA2NFBiVThlM3Q3MjJrbzNORUJVbGNObGc5UVd5WUV5SjJfZU9HNWVISV81R0VBZ2hHbDdfakdLc3pEM0NiLUVLRDRoSFdEWk9sUE9yN1dvLU5JNFdVMUlxRHY?oc=5,google_rss_KT when:2d,332.0,21.0,"ai_infrastructure_security,aidc_datacenter",aidc_gpu_npu,KT,,,,,,,general,24.0,published_today,business_change,event:KT:ai_infrastructure_security+aidc_datacenter,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,telco,332.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_domestic_public_infra,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_PUBLIC_INFRA,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_public_infra,,,
2129,경쟁사/해외이슈,경쟁사_해외이슈,KT,"KT 리벨리온 NPU에 자체 AI모델 결합, '소버린 AI'로 기업 AX 공략",kt 리벨리온 npu에 자체 ai모델 결합 소버린 ai 로 기업 ax 공략,비즈니스포스트,비즈니스포스트,"Wed, 19 Aug 2026 00:34:51 GMT","KT 리벨리온 NPU에 자체 AI모델 결합, '소버린 AI'로 기업 AX 공략 비즈니스포스트",https://news.google.com/rss/articles/CBMic0FVX3lxTE9ieUhfR0RyNm5ZbUtnYzZOZU81YVlVRkk3X3hVM1JQYXJUUE1yTnNVbFZ1Q1pVV2FiOU1CUG1OWW9QdjdLYUlZUGpjYkc4Ul9VaUpabG9PMjhELU9HcXhaMjNNRjVmVjZzZ0JIM1ZkVTUteDQ?oc=5,google_rss_KT when:2d,327.0,21.0,"ai_infrastructure_security,aidc_datacenter",aidc_gpu_npu,KT,,,,,,,general,24.0,published_today,business_change,event:KT:ai_infrastructure_security+aidc_datacenter,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,327.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,,,
2020,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"구글, 국내 모바일 지난 7월 월간 이용자 수에서 네이버 첫 추월… AI 검색 시장 지각변동",구글 국내 모바일 지난 7월 월간 이용자 수에서 네이버 첫 추월 ai 검색 시장 지각변동,씨원뉴스,씨원뉴스,"Mon, 17 Aug 2026 20:43:30 GMT","구글, 국내 모바일 지난 7월 월간 이용자 수에서 네이버 첫 추월… AI 검색 시장 지각변동 씨원뉴스",https://news.google.com/rss/articles/CBMiZkFVX3lxTE1PMHRDLXc3RnRBZ0oyaGpaOEhQMHYzWGt5YXhDSGRkMGVBbVRGN3RfNVQxZVFqdEl3UHMxdldqTWtNSHRZUWt5NDJFbGxubUlya0tOWUQ1ejBSOEtXSWVWNmpHU2ZWd9IBakFVX3lxTE55aGY3QzRfcEFfemFpMGdtRktuZUQ0aTZWNHNhd0Nsa1pwYTdkeHQtWlFuSDZDQkJRTmtFSTlUWjRfSGJoSS1NUWVZUE1xd3NqaldTZXJwRUhUcjNoejNfMjVidDRNXy1Damc?oc=5,google_rss_네이버 AI when:2d,315.5,19.0,"ai_infrastructure_security,search_ads",ai_infrastructure_security,"구글,네이버",,,,,,,general,14.0,published_yesterday,business_change,event:구글+네이버:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,315.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:구글 국내 모바일 지난 7월 월간 이용자 수에서 네이버 첫 추월 ai 검색 시장 지각변동,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:구글 국내 모바일 지난 7월 월간 이용자 수에서 네이버 첫 추월 ai 검색 시장 지각변동,comp_domestic_ai_platform,,,
2796,경쟁사/해외이슈,경쟁사_해외이슈,MS,"KT·농협·MS, 유통 AX 협력 맞손…AI·클라우드로 농산물 e커머스 ‘혁신’",kt 농협 ms 유통 ax 협력 맞손 ai 클라우드로 농산물 e커머스 혁신,더퍼블릭,더퍼블릭,"Tue, 18 Aug 2026 09:58:29 GMT","KT·농협·MS, 유통 AX 협력 맞손…AI·클라우드로 농산물 e커머스 ‘혁신’ 더퍼블릭",https://news.google.com/rss/articles/CBMib0FVX3lxTE9Cc05mRURHTTR3Z21wcHJnRHUzeTUwQVRHa1dCVV9GekU5MHhwTU5WcHUtR0FONFRVZ3pXNE5kVlAyT1EzT2k3cDF5TTRDMVVwd3M3WFZkTFVfNnZqMWM2djlmYkJoN3BNbk5YckJpQdIBb0FVX3lxTE9Cc05mRURHTTR3Z21wcHJnRHUzeTUwQVRHa1dCVV9GekU5MHhwTU5WcHUtR0FONFRVZ3pXNE5kVlAyT1EzT2k3cDF5TTRDMVVwd3M3WFZkTFVfNnZqMWM2djlmYkJoN3BNbk5YckJpQQ?oc=5,google_rss_MS when:2d,307.5,11.0,ai_infrastructure_security,ai_infrastructure_security,KT,,,,,,,general,14.0,published_yesterday,business_change,event:KT:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,307.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,,,
2197,경쟁사/해외이슈,경쟁사_해외이슈,LGU+,[통신] KT 농협 유통 AX / KT클라우드 AI 서밋 / LGU+ 벤츠 차량용 TV,통신 kt 농협 유통 ax kt클라우드 ai 서밋 lgu+ 벤츠 차량용 tv,웹이코노미,웹이코노미,"Tue, 18 Aug 2026 09:52:00 GMT",[통신] KT 농협 유통 AX / KT클라우드 AI 서밋 / LGU+ 벤츠 차량용 TV 웹이코노미,https://news.google.com/rss/articles/CBMickFVX3lxTE5ncEhnbGZsUzdHVWNDSzhBWUxVbHgyRDhBbVlibl9JWE1DZ3daZC1tSXpoTzBnWnBTRFd4UGRxeXhMWndFT3hEaU1jTDRsNnZVeGhoYjJLQm1RZDE5Q3J6VHdfTFRIOUJLZ3liSU1GLVRVUQ?oc=5,google_rss_LGU+ when:2d,307.5,11.0,ai_infrastructure_security,ai_infrastructure_security,"KT,LGU+",,,,,,,general,14.0,published_yesterday,business_change,event:KT+LGU+:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,307.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,,,
2793,경쟁사/해외이슈,경쟁사_해외이슈,MS,KT·농협·MS 맞손… AI·클라우드로 유통 AX 혁신 속도,kt 농협 ms 맞손 ai 클라우드로 유통 ax 혁신 속도,매일산업뉴스,매일산업뉴스,"Tue, 18 Aug 2026 06:38:48 GMT",KT·농협·MS 맞손… AI·클라우드로 유통 AX 혁신 속도 매일산업뉴스,https://news.google.com/rss/articles/CBMiY0FVX3lxTE9DNHRGaEg3SjlQcVpxRnNFWGlxelctend1ODRfRlk4Si1icUhpTUszN0VydlozTTBObnI4ZkZTSUxZWW1Sd1g5YWlkMTgycG5vYlphV3pJaTQ5Z2duNDdpLTZfUQ?oc=5,google_rss_MS when:2d,307.5,11.0,ai_infrastructure_security,ai_infrastructure_security,KT,,,,,,,general,14.0,published_yesterday,business_change,event:KT:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,307.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,,,
2165,경쟁사/해외이슈,경쟁사_해외이슈,KT,"KT·농협·MS, AI와 클라우드 기반으로 유통AX '맞손'",kt 농협 ms ai와 클라우드 기반으로 유통ax 맞손,뉴스;트리,뉴스;트리,"Tue, 18 Aug 2026 06:33:11 GMT","KT·농협·MS, AI와 클라우드 기반으로 유통AX '맞손' 뉴스;트리",https://news.google.com/rss/articles/CBMiXEFVX3lxTFBmS3FEQXFnNTMtSlBCM0pSMkN2M2VzenlnRUpYTDRqbnRRbmtPX044Q2pLQURHMDBOVmlfMkxDY0lzVHZER3Q3Qy01amFsQTdHQTNkR1NxY2Nueldy?oc=5,google_rss_KT when:2d,307.5,11.0,ai_infrastructure_security,ai_infrastructure_security,KT,,,,,,,general,14.0,published_yesterday,business_change,event:KT:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,telco,307.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,,,
2807,경쟁사/해외이슈,경쟁사_해외이슈,MS,"KT·농협·MS, AI로 유통 AX 협력…농협몰 클라우드 전환",kt 농협 ms ai로 유통 ax 협력 농협몰 클라우드 전환,논객닷컴,논객닷컴,"Tue, 18 Aug 2026 02:05:31 GMT","KT·농협·MS, AI로 유통 AX 협력…농협몰 클라우드 전환 논객닷컴",https://news.google.com/rss/articles/CBMiZ0FVX3lxTFBqRnFaaldlb19JUlBDQW41UXRlUzBtLWJ6Rkdwc3BYdFBCeElOallaNkVhSFltVWR0cG03YzN4QnJiT1pYUlczVGN3UFlqREFpY21VeXZXX3kwRUhsRTZoWDRXVE9fRzjSAWtBVV95cUxQSkRjVTU3LUc0alZOT3dLYk8tZmIwZ0R4TFdaUUNxUlBEeGFFX0dsaF9FVTQyTGt0RU1LSkJ5eTVscjlsem1OUFRHRDFqWXZmMEs5MlR0NEE0Z3VrNXN0dHJ5U3RLY1pjcEluaw?oc=5,google_rss_MS when:2d,304.5,11.0,ai_infrastructure_security,ai_infrastructure_security,KT,,,,,,,general,14.0,published_yesterday,business_change,event:KT:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,telco,304.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,,,
2816,경쟁사/해외이슈,경쟁사_해외이슈,MS,"KT·농협·MS, 농산물 e커머스에 AI 입힌다…NH싱씽몰 클라우드 전환서 AX로 확대",kt 농협 ms 농산물 e커머스에 ai 입힌다 nh싱씽몰 클라우드 전환서 ax로 확대,인더스트리뉴스,인더스트리뉴스,"Tue, 18 Aug 2026 02:05:02 GMT","KT·농협·MS, 농산물 e커머스에 AI 입힌다…NH싱씽몰 클라우드 전환서 AX로 확대 인더스트리뉴스",https://news.google.com/rss/articles/CBMickFVX3lxTE1WdG1lem9LZXpVRWcwQ0pGQnJQSmJmZkRhazJNTUNyOHdJM0V6OEE0OWxLUDRQSkdQbDBFMU1UcGFTUkx1d1F4bTFCRjlybHo4NmZjdGNLNUZzWlNubkw3Nk12eVZmY01BdGtMdFFCbFpfQQ?oc=5,"google_rss_""MS"" when:2d",304.5,11.0,ai_infrastructure_security,ai_infrastructure_security,KT,,,,,,,general,14.0,published_yesterday,business_change,event:KT:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,telco,304.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,,,
