id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,정책규제의무,강제검토,강제검토사유,자사홍보성,이슈패밀리,코드힌트,오늘성점수,오늘성사유,기사유형,v26이벤트키,v26진행단계,v27_industry_ok,v27_industry_reason,v27_industry_score,v32_competitor_basis,v32_competitor_portfolio,v32_actor_group,랭킹원점수,편집신호,스토리버킷,전역사건키,전역사건기본키,Gemini카테고리,Gemini내부카테고리,Gemini이슈패밀리,Gemini이슈그룹,Gemini관련성,Gemini중요도,Gemini대외협력중요도,Gemini관련도,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini정책영향경로,Gemini경쟁시사점,Gemini중복그룹,Gemini이슈유형,v26_2_profile_reason
3375,경쟁사/해외이슈,경쟁사_해외이슈,오픈AI,"2027년 덩치 키워 상장하려던 오픈AI, 괜찮나?…데이터센터 총괄 크리스 말론마저 이탈",2027년 덩치 키워 상장하려던 오픈ai 괜찮나 데이터센터 총괄 크리스 말론마저 이탈,네이버 프리미엄콘텐츠,네이버 프리미엄콘텐츠,"Wed, 26 Aug 2026 22:10:00 GMT","2027년 덩치 키워 상장하려던 오픈AI, 괜찮나?…데이터센터 총괄 크리스 말론마저 이탈 네이버 프리미엄콘텐츠",https://news.google.com/rss/articles/CBMihwFBVV95cUxOLTJFQVJSamVyX202dUVRbzFaRDZ0bE5XZmp0SDBFc3ZSNUdmVUN6N2VGY0QtdGFTNE4xc2ZfNFhNM2tHNXIzSlNrRnY3bnM5UTBFWWhzb3ZMWE1GNGhxN2JJQjZGZ3NxbU9XblZNNllxeUtyWUlON3FyOWFkMGJSLVJKS0tlTWc?oc=5,google_rss_오픈AI when:2d,368.0,29.0,"ai_infrastructure_security,strategy_mna_governance",ai_infrastructure_security,"네이버,오픈AI",,,,,,,general,24.0,published_today,direct_risk,global_incident:ai_security_policy:naver:openai_security_access,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,368.0,"strategy_mna_governance,ai_infrastructure_security",competitor:strategy_mna,global_incident:ai_security_policy:naver:openai_security_access:general,global_incident:ai_security_policy:naver:openai_security_access,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,global_incident:ai_security_policy:naver:openai_security_access,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:ai_security_policy:naver:openai_security_access,comp_domestic_ai_platform,
2625,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"디에스앤지, 네이버클라우드에 엔비디아 B300 GPU 서버 389대 공급",디에스앤지 네이버클라우드에 엔비디아 b300 gpu 서버 389대 공급,전자신문,전자신문,"Tue, 25 Aug 2026 23:28:19 GMT","디에스앤지, 네이버클라우드에 엔비디아 B300 GPU 서버 389대 공급 전자신문",https://news.google.com/rss/articles/CBMiTkFVX3lxTE1mcGplYUxCbTNmZlRQQ3FDdGwyZ3VvYlBPV2wzNGtEdFpVWEhJZDN0ZnNsbExhR1d1X1EtZENFNG05RDZDR0JNZld0djNhdw?oc=5,google_rss_네이버 site:etnews.com when:2d,361.0,23.5,"ai_infrastructure_security,aidc_datacenter",aidc_gpu_npu,네이버,,,,,,,general,14.0,published_yesterday,general,event:네이버:ai_infrastructure_security+aidc_datacenter,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,361.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_ai_platform,
2429,경쟁사/해외이슈,경쟁사_해외이슈,네이버,‘K-미토스’ 두고 맞붙은 SKT·네이버클라우드…승부처는 '보안 데이터',k 미토스 두고 맞붙은 skt 네이버클라우드 승부처는 보안 데이터,글로벌이코노믹,글로벌이코노믹,"Thu, 27 Aug 2026 07:48:35 GMT",‘K-미토스’ 두고 맞붙은 SKT·네이버클라우드…승부처는 '보안 데이터' 글로벌이코노믹,https://news.google.com/rss/articles/CBMif0FVX3lxTE9fTlFqT1FyVUIzSGY1RWdZcWhERWtUeUZKTlE3WFlUbWRZWmIyTHdGcWtMNG50cmVUdm5FdklYeWY4ekJ2WWMybmRmeUstM0JYUm0wNlR5ZUVSUmxEUFBYRzNRdGtOczloQ1pqR3JRQk9FTHZTUURwcmxSZDRwcU0?oc=5,google_rss_네이버 when:2d,336.5,27.5,"ai_infrastructure_security,phishing_security,privacy_security_reliability",security_general,"SKT,네이버,앤트로픽,토스",,,,,,,general,24.0,published_today,direct_risk,global_incident:ai_security_policy:naver:anthropic_glasswing_security,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,336.5,"privacy_security_reliability,ai_infrastructure_security",competitor:security_reliability,global_incident:ai_security_policy:naver:anthropic_glasswing_security:general,global_incident:ai_security_policy:naver:anthropic_glasswing_security,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,global_incident:ai_security_policy:naver:anthropic_glasswing_security,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:ai_security_policy:naver:anthropic_glasswing_security,comp_domestic_ai_platform,
2421,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"식약처, 네이버·쿠팡과 ‘온라인 불법 식의약품’ 차단…판매자 제재 강화 - 조선비즈",식약처 네이버 쿠팡과 온라인 불법 식의약품 차단 판매자 제재 강화,Chosunbiz,Chosunbiz,"Thu, 27 Aug 2026 08:02:00 GMT","식약처, 네이버·쿠팡과 ‘온라인 불법 식의약품’ 차단…판매자 제재 강화 - 조선비즈 Chosunbiz",https://news.google.com/rss/articles/CBMilwFBVV95cUxQdEk5Rkk3QWNSR1BsNmhQdy1OYV95RmhKMUgwNHZDd0dGdnV0QWROSlRuYTZGWVY3NWxMdEpsU0VzN1hIRDJ3NmJwUlBoSDF4QU11Smd3NGdXU2NDZnNXZTdTQ3ladEF4QTBjWkRaQ0xlZEE1ZUFFdk5UeVBOekpnM0cwWnBzdXhoUVlZMkh2d1lYQWR3SDdV0gGrAUFVX3lxTE5CN2xYZ3ZOTS1BcE1oUnRyOEVQcDc3dVNjQnYtXzF1YjFxc1h1RFNUOFlEV1l3ZmtGbmRzTjlXVzI5ZGk1TlV6OFltWjRMM3BxbXhnR2JBMm5TTkxVODNSaXZBMzVQWkFjb3dJWWxYWjcwWWdWVDJRU2dUSUxjdHhSa2ZuTXF6N1dyTVBEdnFxei12LUlOMTZRRWlMWjFRX0c2YkxnMnBUdGRGUQ?oc=5,google_rss_네이버 when:2d,335.0,78.5,"legal_regulatory_enforcement,platform_obligation",legal_regulatory_enforcement,"네이버,쿠팡",,Y,,,,competitor:platform_obligation,platform_operator_obligation,24.0,published_today,official_action,global_incident:platform_regulation:naver:platform_transaction_user_protection_obligation,penalty_or_sanction,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,coupang_competitor_enforcement_or_risk,Y,naver,335.0,"legal_regulatory_enforcement,platform_obligation",competitor:platform_obligation,global_incident:platform_regulation:naver:platform_transaction_user_protection_obligation:sanction_penalty,global_incident:platform_regulation:naver:platform_transaction_user_protection_obligation,정부_국회,GOV_PLATFORM_REGULATION,government_platform_regulation,global_incident:platform_regulation:naver:platform_transaction_user_protection_obligation,카카오 또는 주요 플랫폼 사업자에게 직접 의무·차단·보고·준수 부담이 생김,5,5,5,,,로컬 보조 라벨,local_low_confidence,,GOV_DIRECT_PLATFORM_OBLIGATION,COMP_DOMESTIC_DIRECT_RISK,domestic,카카오 또는 주요 플랫폼 사업자에게 직접 의무·차단·보고·준수 부담이 생김,카카오 또는 주요 플랫폼 사업자에게 직접 의무·차단·보고·준수 부담이 생김,global_incident:platform_regulation:naver:platform_transaction_user_protection_obligation,government_platform_regulation,
3348,경쟁사/해외이슈,경쟁사_해외이슈,오픈AI,애플 M6·오픈AI 할라피뇨... 자체 칩 시대 열렸다,애플 m6 오픈ai 할라피뇨 자체 칩 시대 열렸다,네이버 프리미엄콘텐츠,네이버 프리미엄콘텐츠,"Thu, 27 Aug 2026 03:03:10 GMT",애플 M6·오픈AI 할라피뇨... 자체 칩 시대 열렸다 네이버 프리미엄콘텐츠,https://news.google.com/rss/articles/CBMihgFBVV95cUxQQklMXzc0TXdJTHJ5aGhKbE1uSDVmaXRFQ2twVmJrWnA4UGV4dUJ3S0FNMVd4ZHdyWlMxLTktR0h3dmlTRFdzeDFkc2tNVVI0T3BXSmhnTTYySlZRRzhSN3ozVE1QTHZWajA3Rnl3WVl6U2FkRnE3OHplT0pJanVaY3VDNTd1Zw?oc=5,google_rss_오픈AI when:2d,317.0,16.0,ai_infrastructure_security,ai_infrastructure_security,"네이버,애플,오픈AI",,,,,,,general,24.0,published_today,business_change,global_incident:ai_security_policy:naver:openai_security_access,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,317.0,ai_infrastructure_security,competitor:ai_strategy,global_incident:ai_security_policy:naver:openai_security_access:general,global_incident:ai_security_policy:naver:openai_security_access,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,global_incident:ai_security_policy:naver:openai_security_access,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:ai_security_policy:naver:openai_security_access,comp_domestic_ai_platform,
2531,경쟁사/해외이슈,경쟁사_해외이슈,네이버,네이버 AI탭 출시 총정리 | 구글 AI 모드와 다른 점은?,네이버 ai탭 출시 총정리 구글 ai 모드와 다른 점은,오픈애즈,오픈애즈,"Wed, 26 Aug 2026 05:41:00 GMT",네이버 AI탭 출시 총정리 | 구글 AI 모드와 다른 점은? 오픈애즈,https://news.google.com/rss/articles/CBMibkFVX3lxTE85dzFQblN4ZDZYTHVIMmlMb2trLWhwOUhmdFZ2RGdYUkdyZ2tvV2txWUtKbUtpNTZ2Y2ZxcHdpeE1TMVUxS3lDUkV1aE1BckZRQlhGZHd6LWF3aHZyOFI4cGs0ek9QaVNVbkJZMG93?oc=5,google_rss_네이버 AI when:2d,315.5,19.0,"ai_agent,ai_infrastructure_security",ai_infrastructure_security,"구글,네이버",,,,,,,general,14.0,published_yesterday,business_change,event:구글+네이버:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,315.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:네이버 ai탭 출시 총정리 구글 ai 모드와 다른 점은,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:네이버 ai탭 출시 총정리 구글 ai 모드와 다른 점은,comp_domestic_ai_platform,
2759,경쟁사/해외이슈,경쟁사_해외이슈,KT,"KT, 협력 기업 12개사와 태국 '테크소스 글로벌 서밋' 참가",kt 협력 기업 12개사와 태국 테크소스 글로벌 서밋 참가,AI타임스,AI타임스,"Thu, 27 Aug 2026 04:30:24 GMT","KT, 협력 기업 12개사와 태국 '테크소스 글로벌 서밋' 참가 AI타임스",https://news.google.com/rss/articles/CBMiakFVX3lxTE9mSE1LaHB3cWRObEQxRXNBSGxBY1QwUzhXZS13alBUdGR6WV9kUGozNTBIbG5Qa1lhR1dHYk0xWjZtbkN6dXBNdVl6cUt1SXRDMWJJTW1EQlZtbFNNcm5vYWVTZHFScmZvV0E?oc=5,google_rss_KT when:2d,314.0,11.0,ai_infrastructure_security,ai_infrastructure_security,KT,,,,,,,general,24.0,published_today,business_change,event:KT:ai_infrastructure_security,general,,"insufficient_industry_basis:actor=True,change=False,bridge=False",1,naver_telco_strategy_or_infra,Y,telco,314.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,
2619,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"""AI 허위광고 막는다""…식약처, 네이버·쿠팡 등과 공동 대응",ai 허위광고 막는다 식약처 네이버 쿠팡 등과 공동 대응,뉴스1,뉴스1,"Thu, 27 Aug 2026 08:12:42 GMT","""AI 허위광고 막는다""…식약처, 네이버·쿠팡 등과 공동 대응 뉴스1",https://news.google.com/rss/articles/CBMiXEFVX3lxTFBZVUhERnd6T0ItS0ViM1l0VFZZRldRSFg2UldRdDFaZ2N0U3g0YzRoLTNPVVlPTWNlZXZndWpOUEFRZTVoaDY0RlQ4NzNmRFZrNTNuSVRmZ0U1ZV8t0gFiQVVfeXFMTlQzRC1VVEhNZWdjTkk0V2FMT3dIZnBjVEJaa1BqOUIxXzN3RmFWQjFTUjl0cDRlZzdDeS1pb3pmWmhDRS1IM1hhV01vZV94NmhjN3M0QjZxUEVQYUhFQ2w3VlE?oc=5,google_rss_네이버 site:news1.kr when:2d,306.5,16.5,"ai_infrastructure_security,search_ads",ai_infrastructure_security,"네이버,쿠팡",,,,,,,general,24.0,published_today,business_change,event:네이버+쿠팡:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,coupang_competitor_enforcement_or_risk,Y,naver,306.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:ai 허위광고 막는다 식약처 네이버 쿠팡 등과 공동 대응,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:ai 허위광고 막는다 식약처 네이버 쿠팡 등과 공동 대응,comp_domestic_ai_platform,
2418,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"""AI 허위광고 막는다""…식약처, 네이버·쿠팡 등과 공동 대응",ai 허위광고 막는다 식약처 네이버 쿠팡 등과 공동 대응,v.daum.net,v.daum.net,"Thu, 27 Aug 2026 08:14:00 GMT","""AI 허위광고 막는다""…식약처, 네이버·쿠팡 등과 공동 대응 v.daum.net",https://news.google.com/rss/articles/CBMiT0FVX3lxTE5SMHdvMXNmLVc0VWNERGJCbnpqWHpvaXQ2YnFHaVhmdUQ1UUJEWTFKQnk0X1hjT2NnNTJ5cUpSQkh4N3JBdHh1aGNKSTB6TDQ?oc=5,google_rss_네이버 when:2d,302.5,16.5,"ai_infrastructure_security,search_ads",ai_infrastructure_security,"네이버,쿠팡",,,,,,,general,24.0,published_today,business_change,event:네이버+쿠팡:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,coupang_competitor_enforcement_or_risk,Y,naver,302.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,SELF_AFFILIATE_BUSINESS,self_filler_reference,self_filler_reference:ai 허위광고 막는다 식약처 네이버 쿠팡 등과 공동 대응,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,2,5,,,v26: 카카오 직접 주체가 없어 자사 섹션 제외/재분류 / v26.2: overseas structural industry candidate,local_low_confidence,OFF_TOPIC,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,self_filler_reference:ai 허위광고 막는다 식약처 네이버 쿠팡 등과 공동 대응,self_filler_reference,
2520,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"""AI 허위광고 막는다""…식약처, 네이버·쿠팡 등과 공동 대응",ai 허위광고 막는다 식약처 네이버 쿠팡 등과 공동 대응,네이트,네이트,"Thu, 27 Aug 2026 08:13:00 GMT","""AI 허위광고 막는다""…식약처, 네이버·쿠팡 등과 공동 대응 네이트",https://news.google.com/rss/articles/CBMiU0FVX3lxTFBzZ2I4N2xRbUFqS3RPUVdEZU4wNVBfTXJ0bGdLOEQtZzcxd3Y1Rm02Z0dka0NXQXc1UUNiZDFFV0dfTGlvWUxJVVZzT3Z2aHp0NllJ?oc=5,google_rss_네이버 AI when:2d,302.5,16.5,"ai_infrastructure_security,search_ads",ai_infrastructure_security,"네이버,쿠팡",,,,,,,general,24.0,published_today,business_change,event:네이버+쿠팡:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,coupang_competitor_enforcement_or_risk,Y,naver,302.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:ai 허위광고 막는다 식약처 네이버 쿠팡 등과 공동 대응,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:ai 허위광고 막는다 식약처 네이버 쿠팡 등과 공동 대응,comp_domestic_ai_platform,
