id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,정책규제의무,강제검토,강제검토사유,자사홍보성,이슈패밀리,코드힌트,오늘성점수,오늘성사유,기사유형,v26이벤트키,v26진행단계,v27_industry_ok,v27_industry_reason,v27_industry_score,v32_competitor_basis,v32_competitor_portfolio,v32_actor_group,랭킹원점수,편집신호,스토리버킷,전역사건키,전역사건기본키,Gemini카테고리,Gemini내부카테고리,Gemini이슈패밀리,Gemini이슈그룹,Gemini관련성,Gemini중요도,Gemini대외협력중요도,Gemini관련도,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini정책영향경로,Gemini경쟁시사점,Gemini중복그룹,Gemini이슈유형,v26_2_profile_reason,v27_event_key,v26가드레일사유
2131,경쟁사/해외이슈,경쟁사_해외이슈,KT,"kt 클라우드, ‘AIDC·컴포지트 AI’ 전략 공개 ··· AX 인프라 사업 확대",kt 클라우드 aidc 컴포지트 ai 전략 공개 ax 인프라 사업 확대,데이터넷,데이터넷,"Tue, 15 Sep 2026 04:21:15 GMT","kt 클라우드, ‘AIDC·컴포지트 AI’ 전략 공개 ··· AX 인프라 사업 확대 데이터넷",https://news.google.com/rss/articles/CBMia0FVX3lxTE0xUkJxUXdhQVpycnlYd3lyLUJWQ3kwTXh5WG5aeElEeGNpSmsxNkpnbGpNalJhVkp6X3Nhc1NQbkhSc21QSklPMU9KNWJlNVp0b3I0dENSRU45M2drZXdqZy1QcVNKekxRWGJv?oc=5,google_rss_KT when:2d,337.0,28.0,"ai_infrastructure_security,aidc_datacenter,policy_legislation",aidc_general,KT,,,,,,,general,24.0,published_today,business_change,event:KT:ai_infrastructure_security+aidc_datacenter,rumor_or_report,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,telco,337.0,"policy_legislation,ai_infrastructure_security",competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_ai_platform,,,
2140,경쟁사/해외이슈,경쟁사_해외이슈,KT,"kt cloud, '고객 AX 성과' 창출 겨냥한 클라우드 전략-AIDC 공급 로드맵 공개",kt cloud 고객 ax 성과 창출 겨냥한 클라우드 전략 aidc 공급 로드맵 공개,파이낸셜포스트,파이낸셜포스트,"Tue, 15 Sep 2026 01:17:50 GMT","kt cloud, '고객 AX 성과' 창출 겨냥한 클라우드 전략-AIDC 공급 로드맵 공개 파이낸셜포스트",https://news.google.com/rss/articles/CBMidEFVX3lxTE1MM0ViUXBwZFJpaURIWUFYZEo1N3dIeTRTWGV4UVhMZ3RoUkU5QmxhWHZFTUo5TlZsOGUxX2lLa2g2c1RQWGo5Yjk2THNTelVYVG1kYm5PckJpTWxIcUhuTVJhUU1DWmZsZFpTX3l2MkpLMktH?oc=5,google_rss_KT when:2d,337.0,28.0,"ai_infrastructure_security,aidc_datacenter,policy_legislation",aidc_general,KT,,,,,,,general,24.0,published_today,business_change,event:KT:ai_infrastructure_security+aidc_datacenter,rumor_or_report,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,telco,337.0,"policy_legislation,ai_infrastructure_security",competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_ai_platform,,,
2142,경쟁사/해외이슈,경쟁사_해외이슈,KT,"KT 클라우드, AIDC 1GW 로드맵 제시…고객 ‘AX 인프라 파트너’ 비전",kt 클라우드 aidc 1gw 로드맵 제시 고객 ax 인프라 파트너 비전,이투데이,이투데이,"Tue, 15 Sep 2026 01:00:00 GMT","KT 클라우드, AIDC 1GW 로드맵 제시…고객 ‘AX 인프라 파트너’ 비전 이투데이",https://news.google.com/rss/articles/CBMiVEFVX3lxTE9mR1FDb0hLWFBTTGFCYmhRajM2RS1qWEdtUnVCS2NSUFQ3SVlkXy1vbFpZZGJmREJubGszVFZGVUxQWXNQcWRkaURIaXR1SjBISl81Mg?oc=5,google_rss_KT when:2d,327.0,21.0,"ai_infrastructure_security,aidc_datacenter",aidc_general,KT,,,,,,,general,24.0,published_today,business_change,event:KT:ai_infrastructure_security+aidc_datacenter,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,telco,327.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_ai_platform,,,
2129,경쟁사/해외이슈,경쟁사_해외이슈,KT,"KT, IBC 2026서 AI 미디어 기술 공개…글로벌 사업자와 협력 논의",kt ibc 2026서 ai 미디어 기술 공개 글로벌 사업자와 협력 논의,뉴스1,뉴스1,"Tue, 15 Sep 2026 00:08:45 GMT","KT, IBC 2026서 AI 미디어 기술 공개…글로벌 사업자와 협력 논의 뉴스1",https://news.google.com/rss/articles/CBMiZkFVX3lxTE1SdTlFbVZjYVMyQXJ0TXVNbFJEbDdNMEtIQUJVZ09LaUZQcThmSjc1aTQwWEU3VzE5VlQzX0RuN0x0cWtPdVNUdk9nOFlfd0t3dzFpM21nTlhBR0tlVlBDWTMxNjJyZ9IBZkFVX3lxTE1SdTlFbVZjYVMyQXJ0TXVNbFJEbDdNMEtIQUJVZ09LaUZQcThmSjc1aTQwWEU3VzE5VlQzX0RuN0x0cWtPdVNUdk9nOFlfd0t3dzFpM21nTlhBR0tlVlBDWTMxNjJyZw?oc=5,google_rss_KT when:2d,318.0,11.0,ai_infrastructure_security,ai_infrastructure_security,KT,,,,,,,general,24.0,published_today,business_change,event:KT:ai_infrastructure_security,rumor_or_report,Y,"industry_basis_pass:actor=True,change=True,bridge=False",2,naver_telco_strategy_or_infra,Y,telco,318.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,,,
2121,경쟁사/해외이슈,경쟁사_해외이슈,KT,"KT, IBC 2026서 AI 미디어 기술 공개…글로벌 사업자와 협력 논의",kt ibc 2026서 ai 미디어 기술 공개 글로벌 사업자와 협력 논의,v.daum.net,v.daum.net,"Tue, 15 Sep 2026 00:10:43 GMT","KT, IBC 2026서 AI 미디어 기술 공개…글로벌 사업자와 협력 논의 v.daum.net",https://news.google.com/rss/articles/CBMiT0FVX3lxTFBfdTFNRHZiOGNjSUxHVlpzTGFNcUhRVGFwUHFBZEFfWC0tMnRqcDJmWXY0WVRGZW5xTXFXUVNzTUZISTZ4LWFDelNCUkZ4WGs?oc=5,google_rss_KT when:2d,314.0,11.0,ai_infrastructure_security,ai_infrastructure_security,KT,,,,,,,general,24.0,published_today,business_change,event:KT:ai_infrastructure_security,rumor_or_report,Y,"industry_basis_pass:actor=True,change=True,bridge=False",2,naver_telco_strategy_or_infra,Y,telco,314.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,SELF_AFFILIATE_BUSINESS,self_filler_reference,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,2,5,,,v26: 카카오 직접 주체가 없어 자사 섹션 제외/재분류 / v26.2: overseas structural industry candidate,local_low_confidence,OFF_TOPIC,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,self_filler_reference,,,
2109,경쟁사/해외이슈,경쟁사_해외이슈,KT,'KT 클라우드 써밋 2026' 개최… 'AX 인프라 파트너' 비전 제시,kt 클라우드 써밋 2026 개최 ax 인프라 파트너 비전 제시,ebn.co.kr,ebn.co.kr,"Tue, 15 Sep 2026 01:00:00 GMT",'KT 클라우드 써밋 2026' 개최… 'AX 인프라 파트너' 비전 제시 ebn.co.kr,https://news.google.com/rss/articles/CBMiaEFVX3lxTE1KZVlwMlVJM2VCSDgyajZsRkxPaGZjX1BydkJIcUVEUWtDdVFoVWtRSXdqRjVBU3FudUR3R0tYSDExaWE1a1pxS2pMUVE5eVFRLS1zYUEtYzhJdEkyZllvR09vWFBwUER1?oc=5,google_rss_KT when:2d,302.0,4.0,,,KT,,,,,,,general,24.0,published_today,general,,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,telco,302.0,,,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,,,
2123,경쟁사/해외이슈,경쟁사_해외이슈,KT,"KT, 'IBC 2026'서 AI 기반 미디어 솔루션 공개…글로벌 시장 공략",kt ibc 2026 서 ai 기반 미디어 솔루션 공개 글로벌 시장 공략,데일리한국,데일리한국,"Tue, 15 Sep 2026 00:20:22 GMT","KT, 'IBC 2026'서 AI 기반 미디어 솔루션 공개…글로벌 시장 공략 데일리한국",https://news.google.com/rss/articles/CBMic0FVX3lxTE9ManphMjMtamktU0lIelF0OEFkVjVyb2tuaUUxRFMteTE2N3B2WWJSeDNmQnRlQlFGdmk2ZkdqS1E5amMwVEhHNmRqYWVGU1FsYzJNZlpoYUFvTkh5N3Vnc2xPQjl3d1JHT3JiUUdSMzNja1nSAXNBVV95cUxPTGp6YTIzLWppLVNJSHpRdDhBZFY1cm9rbmlFMURTLXkxNjdwdlliUngzZkJ0ZUJRRnZpNmZHaktROWpjMFRIRzZkamFlRlNRbGMyTWZaaGFBb05IeTd1Z3NsT0I5d3dSR09yYlFHUjMzY2tZ?oc=5,google_rss_KT when:2d,298.0,11.0,ai_infrastructure_security,ai_infrastructure_security,KT,,,,,,,general,24.0,published_today,business_change,event:KT:ai_infrastructure_security,rumor_or_report,,"weak_form_without_full_basis:actor=True,change=True,bridge=False",2,naver_telco_strategy_or_infra,Y,telco,298.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,,,
2002,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버페이·시대인재, ‘DX 동맹’…“얼굴로 출석하고 간편결제로 학원비 낸다”",네이버페이 시대인재 dx 동맹 얼굴로 출석하고 간편결제로 학원비 낸다,dt.co.kr,디지털타임스,"Mon, 14 Sep 2026 01:09:01 GMT","네이버페이·시대인재, ‘DX 동맹’…“얼굴로 출석하고 간편결제로 학원비 낸다” dt.co.kr",https://news.google.com/rss/articles/CBMiTkFVX3lxTFBKNU5KMDFCVDBiOXE4YVBBX0h6TkYxWlAydFVGQkZCNlpGSU92UUtnMUFDQm5SeUp6YkRGN3huVUN0b0VkN2FRTG9HQms2Zw?oc=5,google_rss_네이버 site:dt.co.kr when:2d,295.0,6.5,,,네이버,,,,,,,general,14.0,published_yesterday,general,,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,295.0,,,,,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_domestic_finance_commerce,comp_domestic_finance_commerce:네이버페이 시대인재 dx 동맹 얼굴로 출석하고 간편결제로 학원비 낸다,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_FINANCE_COMMERCE,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_finance_commerce:네이버페이 시대인재 dx 동맹 얼굴로 출석하고 간편결제로 학원비 낸다,comp_domestic_finance_commerce,,,
1984,경쟁사/해외이슈,경쟁사_해외이슈,네이버,지금 크립토 시장에서 가장 빨리 크는 건 엔비디아와 금과 원유를 거래하는 시장입니다. (RWA),지금 크립토 시장에서 가장 빨리 크는 건 엔비디아와 금과 원유를 거래하는 시장입니다 rwa,네이버 프리미엄콘텐츠,네이버 프리미엄콘텐츠,"Mon, 14 Sep 2026 06:53:00 GMT",지금 크립토 시장에서 가장 빨리 크는 건 엔비디아와 금과 원유를 거래하는 시장입니다. (RWA) 네이버 프리미엄콘텐츠,https://news.google.com/rss/articles/CBMijAFBVV95cUxNaUxOQUJ3UHJOWE4xT0t2MHlDWXZ4SWpzREt6dXpaWUg4ZW1fZVpaQ0pqUDkxX3ltN0xEX2xzcEw4a0czcG1vRS1qVEVoUnNIQzN1dUlzck5pdzQtVXFVckpGRmZhMUh3VjFkTkJjVUY3QTZrQ2hjX0wwSVhiXzRnOTZfazFxMjlZY3ZRUg?oc=5,google_rss_네이버 스테이블코인 when:2d,285.0,13.5,digital_asset_stablecoin,digital_asset_stablecoin,네이버,v43_not_true_competitor;brand_not_in_title,,,,,,general,14.0,published_yesterday,general,event:네이버:digital_asset_stablecoin,general,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,285.0,digital_asset_stablecoin,competitor:general,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_strategy,comp_domestic_strategy:지금 크립토 시장에서 가장 빨리 크는 건 엔비디아와 금과 원유를 거래하는 시장입니다 rwa,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_STRATEGY,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_strategy:지금 크립토 시장에서 가장 빨리 크는 건 엔비디아와 금과 원유를 거래하는 시장입니다 rwa,comp_domestic_strategy,,,
2154,경쟁사/해외이슈,경쟁사_해외이슈,LGU+,"LGU+, 차세대 홈미디어 디바이스 글로벌 시장에 공개",lgu+ 차세대 홈미디어 디바이스 글로벌 시장에 공개,아시아경제,아시아경제,"Tue, 15 Sep 2026 00:13:41 GMT","LGU+, 차세대 홈미디어 디바이스 글로벌 시장에 공개 아시아경제",https://news.google.com/rss/articles/CBMiggFBVV95cUxQMXprYmhmTnpTa3c4TEVjQWVxSTNfeWdRQjN2WEI2ZWt4NzlsUWc2Mm94NXY2eVFIZ2ZRUmVoRlJxQmhrQ1NGX3d2RjAyMXdPLTBkZnRacFlsNDlzQTBWdXlkdXF4cjNfdU5nR1h3cW9nUUFwb09xdnhTLUhKUFkxd013?oc=5,google_rss_LGU+ when:2d,257.0,4.0,,,LGU+,v43_not_true_competitor,,,,,,general,24.0,published_today,general,,rumor_or_report,Y,"industry_basis_pass:actor=True,change=True,bridge=False",2,naver_telco_strategy_or_infra,Y,telco,257.0,,,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_strategy,comp_domestic_strategy:lgu+ 차세대 홈미디어 디바이스 글로벌 시장에 공개,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_STRATEGY,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_strategy:lgu+ 차세대 홈미디어 디바이스 글로벌 시장에 공개,comp_domestic_strategy,,,
