id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,정책규제의무,강제검토,강제검토사유,자사홍보성,이슈패밀리,코드힌트,오늘성점수,오늘성사유,기사유형,v26이벤트키,v26진행단계,v27_event_key,v27_industry_ok,v27_industry_reason,v27_industry_score,v32_competitor_basis,v32_competitor_portfolio,v32_actor_group,랭킹원점수,편집신호,스토리버킷,전역사건키,전역사건기본키,Gemini카테고리,Gemini내부카테고리,Gemini이슈패밀리,Gemini이슈그룹,Gemini관련성,Gemini중요도,Gemini대외협력중요도,Gemini관련도,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini정책영향경로,Gemini경쟁시사점,Gemini중복그룹,Gemini이슈유형,v26_2_profile_reason,v26가드레일사유
2211,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"세무조사 받는 배민, 2년 순이익보다 896억 더 해외로…네이버는 인수 철회",세무조사 받는 배민 2년 순이익보다 896억 더 해외로 네이버는 인수 철회,뉴스필드,뉴스필드,"Fri, 18 Sep 2026 08:12:10 GMT","세무조사 받는 배민, 2년 순이익보다 896억 더 해외로…네이버는 인수 철회 뉴스필드",https://news.google.com/rss/articles/CBMirgJBVV95cUxOSWx3T2ZaVURlTnEyaW5TYjMzVi1EZ2xrTXMyM09FUVFlS19DNW83V3lBc0hmcVEzSVlFaWQ3OGZMeERNOExUSE9pZmd6aXk3Qk9FUUNVNXpRd0h6eVlEU05nano2YzcxRTBEcFNtR2JaRlFsY1NDckRybkJtTE56OE5td21xRDd2azl2c1BaXy1BVmVQaE8tM3VDbkdUa3BkUGJ3Zm5VUWYzU2V2Ri1BUXpfXy1oUFRFeTRYQm1maktwdzlBOEdGSFdxbkxTLTBmMUFPRlBVcUplTUVveWc3TEVnVkYtb0NtanMxbEdkS3BLNWpRTHBYeTBVUzBMcnR2QU9UMEdTb0VrYnAxUGQ0NGMtQzlzSUx5SFBtYUxESEEtbHJFTzdrSlVrRmpIQQ?oc=5,google_rss_네이버 조사 when:4d,344.0,47.5,"earnings,financial_performance,strategy_mna_governance",financial_performance,"네이버,배달의민족",,,,,,,general,0.0,,official_action,v27:platform_enforcement:naver:delivery_platform_fee_mfn,general,platform_enforcement:naver:delivery_platform_fee_mfn,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,344.0,"strategy_mna_governance,financial_performance",competitor:strategy_mna,global_incident:platform_enforcement:naver:delivery_platform_fee_mfn:investigation_review,global_incident:platform_enforcement:naver:delivery_platform_fee_mfn,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_domestic_direct_risk,global_incident:platform_enforcement:naver:delivery_platform_fee_mfn,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_DIRECT_RISK,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:platform_enforcement:naver:delivery_platform_fee_mfn,comp_domestic_direct_risk,,
2438,경쟁사/해외이슈,경쟁사_해외이슈,KT,"KT, ITU-T서 'AI 기반 사이버 보안' 글로벌 표준 선점… 英·印 지지 확보",kt itu t서 ai 기반 사이버 보안 글로벌 표준 선점 지지 확보,더퍼블릭,더퍼블릭,"Mon, 21 Sep 2026 02:40:48 GMT","KT, ITU-T서 'AI 기반 사이버 보안' 글로벌 표준 선점… 英·印 지지 확보 더퍼블릭",https://news.google.com/rss/articles/CBMia0FVX3lxTFAxZ2ZwQ0dZNGJGQ2lmTWtHeUJzYk16aVZSbkRhcVpubGJkdzJGOFVrQXlpUVhaWF9ySjdIdFpxclZ2T3FUV3NkY3NqbElMWFkwMkxDcGprRkp4dV9ob05ZSk9Jb1YyOGtGaW5r0gFvQVVfeXFMUEJTMW5SQmxTbTdnTFZTekhsb3NQMjl2VlFWaFJ6M1NyS2RtVFNaNENfemJ5TURRdWtadTBUU2dHQzNqa2FyUzFuU3ZuQ2N0N2NTb1NWN05TT1g4LUJMYnYxR2RURTdCV0NoS2tVTmZ3?oc=5,google_rss_KT when:4d,334.0,25.0,"ai_infrastructure_security,phishing_security,privacy_security_reliability",security_general,KT,,,,,,,general,24.0,published_today,direct_risk,event:KT:ai_infrastructure_security+phishing_security,general,,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,telco,334.0,"privacy_security_reliability,ai_infrastructure_security",competitor:security_reliability,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,,
134,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"글로벌 AI 공세 앞에 선 네이버·카카오, ‘수익화’라는 차가운 벽 [데스크칼럼]",글로벌 ai 공세 앞에 선 네이버 카카오 수익화라는 차가운 벽 데스크칼럼,sportsseoul.com,sportsseoul.com,"Sun, 20 Sep 2026 20:00:00 GMT","글로벌 AI 공세 앞에 선 네이버·카카오, ‘수익화’라는 차가운 벽 [데스크칼럼] sportsseoul.com",https://news.google.com/rss/articles/CBMiWEFVX3lxTFBtYk0wVFoxTlhLX3E1b2tHMjFxZm5YSUtyRXRFeTJJWF9Za3o3R1F5bXozRUhxWGRWRFFramdJWFJvUTg1S19BQ2JrcjN3dzBNTHB5bnB1QWQ?oc=5,google_rss_카카오 AI when:4d,333.8,32.0,ai_infrastructure_security,ai_infrastructure_security,"네이버,카카오",,,,,,,general,24.0,published_today,business_change,event:네이버+카카오:ai_infrastructure_security,general,,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,333.8,ai_infrastructure_security,self:ai_strategy,,,자사_및_계열사_이슈,SELF_AFFILIATE_BUSINESS,self_strategic_reference,self_strategic_reference:글로벌 ai 공세 앞에 선 네이버 카카오 수익화라는 차가운 벽 데스크칼럼,"카카오·계열사의 사업 확장, 제휴, MOU, 신규 서비스 참고 이슈",4,3,4,,,v40: 직접 리스크는 아니지만 자사 사업 확장·제휴성 이슈로 2순위 반영,local_low_confidence,STRATEGIC_REFERENCE,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오 현직자가 사업 방향과 외부 질의 가능성을 참고할 실질 변화,self_strategic_reference:글로벌 ai 공세 앞에 선 네이버 카카오 수익화라는 차가운 벽 데스크칼럼,self_strategic_reference,,
2147,경쟁사/해외이슈,경쟁사_해외이슈,네이버,선 넘는 AI…오픈AI·앤트로픽서 잇단 이상행동,선 넘는 ai 오픈ai 앤트로픽서 잇단 이상행동,blog.naver.com,blog.naver.com,"Fri, 18 Sep 2026 13:00:00 GMT",선 넘는 AI…오픈AI·앤트로픽서 잇단 이상행동 blog.naver.com,https://news.google.com/rss/articles/CBMif0FVX3lxTFA2NUJwWlp1N1NMZDJCLUJNSkp5eFktaWE5MXdsdlNGb2ozdUFPT2k3dVZyMERsNmVqZjZzRERwUG5qd2JXVFlCTDJ6dE0zSG5hcHh4UHg1Z0pFZU5UbzVwWnlDRjI3OWJScWJJOW5CQlJIMmo3UUVZbTd5dkllTGs?oc=5,google_rss_네이버 AI when:4d,332.0,16.0,ai_infrastructure_security,ai_infrastructure_security,"네이버,앤트로픽,오픈AI",brand_not_in_title,,,,,,general,0.0,,business_change,global_incident:ai_security_policy:naver:anthropic_glasswing_security,general,,Y,"industry_basis_pass:actor=True,change=False,bridge=True",2,naver_telco_strategy_or_infra,Y,naver,332.0,ai_infrastructure_security,competitor:ai_strategy,global_incident:ai_security_policy:naver:anthropic_glasswing_security:general,global_incident:ai_security_policy:naver:anthropic_glasswing_security,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,global_incident:ai_security_policy:naver:anthropic_glasswing_security,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:ai_security_policy:naver:anthropic_glasswing_security,comp_domestic_ai_platform,,
2861,경쟁사/해외이슈,경쟁사_해외이슈,배달의민족,"네이버 ""배달의민족 인수 안 한다""",네이버 배달의민족 인수 안 한다,글로벌경제신문,글로벌경제신문,"Fri, 18 Sep 2026 02:14:51 GMT","네이버 ""배달의민족 인수 안 한다"" 글로벌경제신문",https://news.google.com/rss/articles/CBMicEFVX3lxTE85cFl3MFlMVWVQZ3VFZ0VvQVp4M3JaYVBLLTJnVFBPT1BoTjlFNURMNW52R29XTk52MUJTWm9IeWVVMElaNVE3cWkzdVBrSFFBaG9pekJxRll5a2NNY1N2cjVKSkdoUFdFQTg0VFBHOEbSAXBBVV95cUxPOXBZdzBZTFVlUGd1RWdFb0FaeDNyWmFQSy0yZ1RQT09QaE45RTVETDVudkdvV05OdjFCU1pvSHllVTBJWjVRN3FpM3VQa0hRQWhvaXpCcUZZeWtjTWNTdnI1SkpHaFBXRUE4NFRQRzhG?oc=5,google_rss_배달의민족 when:4d,324.5,31.5,strategy_mna_governance,strategy_mna_governance,"네이버,배달의민족",,,,,,,general,0.0,,direct_risk,global_incident:platform_regulation:naver:delivery_app_fee_policy,general,,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,324.5,strategy_mna_governance,competitor:strategy_mna,global_incident:platform_regulation:naver:delivery_app_fee_policy:general,global_incident:platform_regulation:naver:delivery_app_fee_policy,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_domestic_finance_commerce,global_incident:platform_regulation:naver:delivery_app_fee_policy,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_FINANCE_COMMERCE,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:platform_regulation:naver:delivery_app_fee_policy,comp_domestic_finance_commerce,,
2409,경쟁사/해외이슈,경쟁사_해외이슈,KT,"KT, ITU-T SG17 국제표준회의서 정보보호 논의…글로벌 보안 역량 강화",kt itu t sg17 국제표준회의서 정보보호 논의 글로벌 보안 역량 강화,v.daum.net,v.daum.net,"Mon, 21 Sep 2026 00:07:37 GMT","KT, ITU-T SG17 국제표준회의서 정보보호 논의…글로벌 보안 역량 강화 v.daum.net",https://news.google.com/rss/articles/CBMiT0FVX3lxTE95SGhMWlN3OEVDdEpodW9ISjZwdE9EMGprQldIMkk1eFVZMzhXZXltYkdkNHlYTUF2VmZaSmJBNHBtczlqRlFscHp1V1ZHSjA?oc=5,google_rss_KT when:4d,324.0,18.0,"phishing_security,privacy_security_reliability",security_general,KT,,,,,,,general,24.0,published_today,direct_risk,event:KT:phishing_security+privacy_security_reliability,general,,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,telco,324.0,privacy_security_reliability,competitor:security_reliability,,,경쟁사_해외이슈,SELF_AFFILIATE_BUSINESS,self_filler_reference,self_filler_reference:kt itu t sg17 국제표준회의서 정보보호 논의 글로벌 보안 역량 강화,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,2,5,,,v26: 카카오 직접 주체가 없어 자사 섹션 제외/재분류 / v26.2: overseas structural industry candidate,local_low_confidence,OFF_TOPIC,,COMP_DOMESTIC_STRATEGY,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,self_filler_reference:kt itu t sg17 국제표준회의서 정보보호 논의 글로벌 보안 역량 강화,self_filler_reference,,
2441,경쟁사/해외이슈,경쟁사_해외이슈,KT,"KT, ITU 국제표준회의서 정보보호 논의 주도…글로벌 보안 리더십 강화",kt itu 국제표준회의서 정보보호 논의 주도 글로벌 보안 리더십 강화,it-b.co.kr,it-b.co.kr,"Mon, 21 Sep 2026 02:01:21 GMT","KT, ITU 국제표준회의서 정보보호 논의 주도…글로벌 보안 리더십 강화 it-b.co.kr",https://news.google.com/rss/articles/CBMiZ0FVX3lxTFB1NUlIb1Vqc3c4amVqMnFydmVOd21FRXBZdWdRT3pucnBoR1ZsdU0weFh5ZHdabEM4WjhfMm56R0w2Rk9KYllfSVkwY3VISDRnUzlBWThUbE5BSV8tLVY5ZVZpVjloc2c?oc=5,google_rss_KT when:4d,322.0,18.0,"phishing_security,privacy_security_reliability",security_general,KT,,,,,,,general,24.0,published_today,direct_risk,event:KT:phishing_security+privacy_security_reliability,general,,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,telco,322.0,privacy_security_reliability,competitor:security_reliability,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_strategy,comp_domestic_strategy:kt itu 국제표준회의서 정보보호 논의 주도 글로벌 보안 리더십 강화,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_STRATEGY,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_strategy:kt itu 국제표준회의서 정보보호 논의 주도 글로벌 보안 리더십 강화,comp_domestic_strategy,,
2111,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버, AI 헬스케어 기업 ‘임프리메드’ 투자… AI 정밀의료 투자 전략",네이버 ai 헬스케어 기업 임프리메드 투자 ai 정밀의료 투자 전략,글로벌이코노믹,글로벌이코노믹,"Sat, 19 Sep 2026 22:50:29 GMT","네이버, AI 헬스케어 기업 ‘임프리메드’ 투자… AI 정밀의료 투자 전략 글로벌이코노믹",https://news.google.com/rss/articles/CBMiiAFBVV95cUxOQXgycjdhVndGZ0RZMHhZVjBtazVBUEF6TGZFWEdSSnBUNFRwRjJFZFh2ZE1EM01NSzF1MFJRc2NNd1Vwd3d0OFQ3TEtuaWRXQ3hYUlR1aGFDM1pCZm9KUGROdG9WSngtZmctamdCa3dIME5ZZk1UZ0JxRWQ0T3o5V1Bmb0M5bS1i?oc=5,google_rss_네이버 when:4d,320.0,20.5,"ai_infrastructure_security,policy_legislation",ai_infrastructure_security,네이버,,,,,,,general,14.0,published_yesterday,business_change,event:네이버:ai_infrastructure_security+policy_legislation,general,,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,320.0,"policy_legislation,ai_infrastructure_security",competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:네이버 ai 헬스케어 기업 임프리메드 투자 ai 정밀의료 투자 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:네이버 ai 헬스케어 기업 임프리메드 투자 ai 정밀의료 투자 전략,comp_domestic_ai_platform,,
2177,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버클라우드, 국방 AX 위한 '소버린 AI' 전략 공개",네이버클라우드 국방 ax 위한 소버린 ai 전략 공개,매일일보,매일일보,"Fri, 18 Sep 2026 09:42:35 GMT","네이버클라우드, 국방 AX 위한 '소버린 AI' 전략 공개 매일일보",https://news.google.com/rss/articles/CBMiZEFVX3lxTE9qeWd5UlhOMVFwSTJfVnVhdUt4V1ZsVEdDNGlQOExRSHdOZ2JKdHE2azRtUW1QWFA4NFBUczIzemxuMmRNREJ5UzJFUnI0ZDZnMzA2ai1Cb2tBM01ydGpxd0o2NUvSAWhBVV95cUxNVnNlQ3l2UjNJZFc2UzRDczVJZE50dmhZb3JadE80MEFwRDFCdDJUMUF5TDFYNGhEZ1JFazFDaUdHeWJMT1hFWFA3N0ZpSjZmbXpvcHJSUll2ZFVlRmFCcVRETk5NY09JMQ?oc=5,google_rss_네이버 AI when:4d,316.5,20.5,"ai_infrastructure_security,policy_legislation",ai_infrastructure_security,네이버,,,,,,,general,0.0,,business_change,event:네이버:ai_infrastructure_security+policy_legislation,rumor_or_report,,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,316.5,"policy_legislation,ai_infrastructure_security",competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:네이버클라우드 국방 ax 위한 소버린 ai 전략 공개,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:네이버클라우드 국방 ax 위한 소버린 ai 전략 공개,comp_domestic_ai_platform,,
2412,경쟁사/해외이슈,경쟁사_해외이슈,KT,"KT-비씨카드, 금융·미디어 분야 AX 혁신 사례 공개",kt 비씨카드 금융 미디어 분야 ax 혁신 사례 공개,전자신문,전자신문,"Mon, 21 Sep 2026 01:38:51 GMT","KT-비씨카드, 금융·미디어 분야 AX 혁신 사례 공개 전자신문",https://news.google.com/rss/articles/CBMiTkFVX3lxTE1RaE5rV0lMcFJlTk42V3JOdS1DRVc2dF92MGctamdDeXRVYWdHRVRMeHFyN1VQZTY0cUFIcllEczV2NWFIcWpsb01falNFZw?oc=5,google_rss_KT when:4d,310.0,4.0,,,KT,,,,,,,general,24.0,published_today,general,,rumor_or_report,,Y,"industry_basis_pass:actor=True,change=True,bridge=False",2,naver_telco_strategy_or_infra,Y,telco,310.0,,,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,KT 금융 AX/AI 인프라 전략,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,KT 금융 AX/AI 인프라 전략,comp_domestic_ai_platform,,
