카테고리,카테고리명,검색어,기사제목,언론사,정규언론사,게시일,RSS게시일,RSS요약,본문전문,본문글자수,본문추출방식,본문품질점수,본문품질사유,중요도점수,본문사용가능,본문정제적용,원래RSS링크,링크,랭킹점수,사건태그,사건단계,원문날짜,원문날짜출처,날짜검증결과,날짜후보수,대표선택점수,개인정보보안사건키,개인정보보안대표보너스,전역사건키,전역사건기본키,전역사건대표보너스,이슈패밀리,정책규제의무,자사홍보성,제외단계,v20_issue_id,v20_issue_group,수집검색어,수집원카테고리,수집JSON카테고리,Gemini판단카테고리,최종카테고리,최종카테고리명,본문상태,최종카테고리검증결과
자사_및_계열사_이슈,자사 및 계열사 이슈,카카오,[IT라운지] 카카오맵 '부산록페 지도'·네이버클 'DSAC 출시'·아이티센피엔에스 'PQC전환 박차'·SKT '인사이트 데이'·에버스핀 '추석 피싱앱 분석'·LG유플러스 '소공인 AX솔루션'·KT-NIA 'MOU',뉴스웍스,뉴스웍스,"Tue, 22 Sep 2026 03:19:18 GMT","Tue, 22 Sep 2026 03:19:18 GMT",[IT라운지] 카카오맵 '부산록페 지도'·네이버클 'DSAC 출시'·아이티센피엔에스 'PQC전환 박차'·SKT '인사이트 데이'·에버스핀 '추석 피싱앱 분석'·LG유플러스 '소공인 AX솔루션'·KT-NIA 'MOU' 뉴스웍스,Google 뉴스가 전세계 매체로부터 종합한 최신 뉴스,30,meta_description_short,-103.0,meta_description_not_full_body,96.5,False,False,https://news.google.com/rss/articles/CBMic0FVX3lxTFAtcXg0SGY3SGRQZGp4RHlReHlKcHBWMTdxU2xpbmJWV3VnSUlTXzBnLWNOX3hjOTBYOFRBQ1BKLWUzTWxOc01ETXdqVmI5VWhhQXZwMGpsZ2xnZURKRDI2RXVYX3otNjZsZy04TU9MNWh3R2_SAXNBVV95cUxQLXF4NEhmN0hkUGRqeER5UXh5SnBwVjE3cVNsaW5iVld1Z0lJU18wZy1jTl94YzkwWDhUQUNQSi1lM01sTnNNRE13alZiOVVoYUF2cDBqbGdsZ2VESkQyNkV1WF96LTY2bGctOE1PTDVod0dv?oc=5,https://news.google.com/rss/articles/CBMic0FVX3lxTFAtcXg0SGY3SGRQZGp4RHlReHlKcHBWMTdxU2xpbmJWV3VnSUlTXzBnLWNOX3hjOTBYOFRBQ1BKLWUzTWxOc01ETXdqVmI5VWhhQXZwMGpsZ2xnZURKRDI2RXVYX3otNjZsZy04TU9MNWh3R2_SAXNBVV95cUxQLXF4NEhmN0hkUGRqeER5UXh5SnBwVjE3cVNsaW5iVld1Z0lJU18wZy1jTl94YzkwWDhUQUNQSi1lM01sTnNNRE13alZiOVVoYUF2cDBqbGdsZ2VESkQyNkV1WF96LTY2bGctOE1PTDVod0dv?oc=5&hl=ko&gl=KR&ceid=KR%3Ako,254.8,"phishing_security,privacy_security_reliability",security_phishing_malware,,no_original_date_found,no_original_date_found_kept,0.0,-97.15,privacy_security:kakao:phishing_or_account_takeover:initial_investigation_response,0.0,global_incident:platform_regulation:kakao:platform_regulation:general,global_incident:platform_regulation:kakao:platform_regulation,0.0,,,,issue_representative_attempt,I002,국가 AI 인프라/AIDC/GPU 정책,카카오,자사 및 계열사 이슈,자사_및_계열사_이슈,자사_및_계열사_이슈,자사_및_계열사_이슈,자사 및 계열사 이슈,,
자사_및_계열사_이슈,자사 및 계열사 이슈,과학기술정보통신부,"[현장] 정부-네이버 컨소, GPU 4512장 투입해 '보안 특화 AI' 만든다",ebn.co.kr,ebn.co.kr,"Tue, 22 Sep 2026 09:28:07 GMT","Tue, 22 Sep 2026 09:28:07 GMT","[현장] 정부-네이버 컨소, GPU 4512장 투입해 '보안 특화 AI' 만든다 ebn.co.kr",Google 뉴스가 전세계 매체로부터 종합한 최신 뉴스,30,meta_description_short,-103.0,meta_description_not_full_body,-81.0,False,False,https://news.google.com/rss/articles/CBMiaEFVX3lxTE5keUVpQzFjcDVkUi1McE9kQlJqbkFISkVrc0xINTVfelM5U2dlZXhnVzN0Y0ZDVGhkVENzQWdrczR5VkZtSzI0QTB4RllIZDJYTFhnQmh2U3NndlNWejJ4RXZEc2FRdzlh?oc=5,https://news.google.com/rss/articles/CBMiaEFVX3lxTE5keUVpQzFjcDVkUi1McE9kQlJqbkFISkVrc0xINTVfelM5U2dlZXhnVzN0Y0ZDVGhkVENzQWdrczR5VkZtSzI0QTB4RllIZDJYTFhnQmh2U3NndlNWejJ4RXZEc2FRdzlh?oc=5&hl=ko&gl=KR&ceid=KR%3Ako,249.6,"ai_infrastructure_security,aidc_datacenter,phishing_security,privacy_security_reliability",aidc_gpu_npu,,no_original_date_found,no_original_date_found_kept,0.0,-224.4,,0.0,,,0.0,,,,issue_representative_attempt,I002,국가 AI 인프라/AIDC/GPU 정책,과학기술정보통신부,정부/국회,정부_국회,경쟁사_해외이슈,자사_및_계열사_이슈,자사 및 계열사 이슈,,
자사_및_계열사_이슈,자사 및 계열사 이슈,EU 규제,"EU, 500㎾ 넘는 데이터센터 전력·물 효율 공개 의무화…AI 인프라 규제 본격화",중앙이코노미뉴스,중앙이코노미뉴스,"Tue, 22 Sep 2026 00:03:22 GMT","Tue, 22 Sep 2026 00:03:22 GMT","EU, 500㎾ 넘는 데이터센터 전력·물 효율 공개 의무화…AI 인프라 규제 본격화 중앙이코노미뉴스",Google 뉴스가 전세계 매체로부터 종합한 최신 뉴스,30,meta_description_short,-103.0,meta_description_not_full_body,-97.5,False,False,https://news.google.com/rss/articles/CBMickFVX3lxTE5RTmRQUmlIYVFpUTJjTVNiQzZSd21mVVh2b0NNZ0M4eFVLYzVVUGdBX3lLbkJjRFZKYzFuc1Z3amJiZHRDd3V2WnZJR3ZseTFWU1h4MWNELURDWFh1a3A4VmVCRU5jSlBDclV2NHNENzZLUQ?oc=5,https://news.google.com/rss/articles/CBMickFVX3lxTE5RTmRQUmlIYVFpUTJjTVNiQzZSd21mVVh2b0NNZ0M4eFVLYzVVUGdBX3lLbkJjRFZKYzFuc1Z3amJiZHRDd3V2WnZJR3ZseTFWU1h4MWNELURDWFh1a3A4VmVCRU5jSlBDclV2NHNENzZLUQ?oc=5&hl=ko&gl=KR&ceid=KR%3Ako,159.5,"ai_infrastructure_security,policy_legislation",ai_infrastructure_security,,no_original_date_found,no_original_date_found_kept,0.0,-232.95,,0.0,global_incident:platform_regulation:google:platform_regulation:policy_change,global_incident:platform_regulation:google:platform_regulation,0.0,,,,issue_representative_attempt,I002,국가 AI 인프라/AIDC/GPU 정책,EU 규제,경쟁사/해외이슈,경쟁사_해외이슈,경쟁사_해외이슈,자사_및_계열사_이슈,자사 및 계열사 이슈,,
자사_및_계열사_이슈,자사 및 계열사 이슈,네이버,"""가진 GPU 다 내놨다""…네이버, 열달 내 '보안 독파모' 승부",뉴스1,뉴스1,"Tue, 22 Sep 2026 08:44:10 GMT","Tue, 22 Sep 2026 08:44:10 GMT","""가진 GPU 다 내놨다""…네이버, 열달 내 '보안 독파모' 승부 뉴스1",Google 뉴스가 전세계 매체로부터 종합한 최신 뉴스,30,meta_description_short,-103.0,meta_description_not_full_body,-81.0,False,False,https://news.google.com/rss/articles/CBMibkFVX3lxTE50bXNBSldnVldKcG1iWDdQaUphSnBrQ2ZuWEl2ZkhaTjRMaG1yTTJIa2pBSk1QMTBCNHFCSXBXNFU4WXlQTWxmelNzUXVMSk1nNlRZZ0RIMFpGcXgyNXdDcXBUTTFaMmdJZmJhN2dn0gFuQVVfeXFMTnRtc0FKV2dWV0pwbWJYN1BpSmFKcGtDZm5YSXZmSFpONExobXJNMkhrakFKTVAxMEI0cUJJcFc0VThZeVBNbGZ6U3NRdUxKTWc2VFlnREgwWkZxeDI1d0NxcFRNMVoyZ0lmYmE3Z2c?oc=5,https://news.google.com/rss/articles/CBMibkFVX3lxTE50bXNBSldnVldKcG1iWDdQaUphSnBrQ2ZuWEl2ZkhaTjRMaG1yTTJIa2pBSk1QMTBCNHFCSXBXNFU4WXlQTWxmelNzUXVMSk1nNlRZZ0RIMFpGcXgyNXdDcXBUTTFaMmdJZmJhN2dn0gFuQVVfeXFMTnRtc0FKV2dWV0pwbWJYN1BpSmFKcGtDZm5YSXZmSFpONExobXJNMkhrakFKTVAxMEI0cUJJcFc0VThZeVBNbGZ6U3NRdUxKTWc2VFlnREgwWkZxeDI1d0NxcFRNMVoyZ0lmYmE3Z2c?oc=5&hl=ko&gl=KR&ceid=KR%3Ako,232.0,"ai_infrastructure_security,aidc_datacenter,phishing_security,privacy_security_reliability",aidc_gpu_npu,,no_original_date_found,no_original_date_found_kept,0.0,-207.4,,0.0,,,0.0,,,,issue_representative_attempt,I002,국가 AI 인프라/AIDC/GPU 정책,네이버,경쟁사/해외이슈,경쟁사_해외이슈,경쟁사_해외이슈,자사_및_계열사_이슈,자사 및 계열사 이슈,,
자사_및_계열사_이슈,자사 및 계열사 이슈,카카오페이,"다음달 베타 출시…KT, '모두의 AI' 컨소시엄 출범",biz.sbs.co.kr,biz.sbs.co.kr,"Tue, 22 Sep 2026 00:41:00 GMT","Tue, 22 Sep 2026 00:41:00 GMT","다음달 베타 출시…KT, '모두의 AI' 컨소시엄 출범 biz.sbs.co.kr",Google 뉴스가 전세계 매체로부터 종합한 최신 뉴스,30,meta_description_short,-103.0,meta_description_not_full_body,-1.5,False,False,https://news.google.com/rss/articles/CBMiU0FVX3lxTFBxN0tHWUxRV1Y4dWhVR09SejdFekF0UTBka0dtMEZyRWNxM2RidjdqNWRWanFCYXRQdU5xMmxERXpLRkQxS0lpM29TZTNHOTFhbGhv0gFYQVVfeXFMTnZhUFRqNS13Q2xUWjFQZFA0XzZMRzdMTFJybW5lQkd2WTVXY29qZHQ3Mkc0cmRzVzhLUnhzVXdENEFIdXBrd3N3TlFkTGhweG5yLTRXbGxYUg?oc=5,https://news.google.com/rss/articles/CBMiU0FVX3lxTFBxN0tHWUxRV1Y4dWhVR09SejdFekF0UTBka0dtMEZyRWNxM2RidjdqNWRWanFCYXRQdU5xMmxERXpLRkQxS0lpM29TZTNHOTFhbGhv0gFYQVVfeXFMTnZhUFRqNS13Q2xUWjFQZFA0XzZMRzdMTFJybW5lQkd2WTVXY29qZHQ3Mkc0cmRzVzhLUnhzVXdENEFIdXBrd3N3TlFkTGhweG5yLTRXbGxYUg?oc=5&hl=ko&gl=KR&ceid=KR%3Ako,135.8,"ai_infrastructure_security,strategy_mna_governance",ai_infrastructure_security,,no_original_date_found,no_original_date_found_kept,0.0,-162.75,,0.0,,,0.0,,,,issue_representative_attempt,I002,국가 AI 인프라/AIDC/GPU 정책,카카오페이,자사 및 계열사 이슈,자사_및_계열사_이슈,자사_및_계열사_이슈,자사_및_계열사_이슈,자사 및 계열사 이슈,,
자사_및_계열사_이슈,자사 및 계열사 이슈,KT,"KT·NIA, AICE 기반 글로벌 AI 교육 확대 협력",IT비즈뉴스,IT비즈뉴스,"Wed, 23 Sep 2026 02:47:00 GMT","Wed, 23 Sep 2026 02:47:00 GMT","KT·NIA, AICE 기반 글로벌 AI 교육 확대 협력 IT비즈뉴스",Google 뉴스가 전세계 매체로부터 종합한 최신 뉴스,30,meta_description_short,-103.0,meta_description_not_full_body,-107.5,False,False,https://news.google.com/rss/articles/CBMibEFVX3lxTE1IbjhfbkZwZDRrdWRpb3dWajFXTWs1M2YzMTVrOU8tOW42VXJTZTBXREVubWlyZnA5WFktMFl3NGxyUllvalFOWGJXZkg4X2c2bFRKMmVfWkdvZkM4elk2UkIwd0E5WThsNW1VNQ?oc=5,https://news.google.com/rss/articles/CBMibEFVX3lxTE1IbjhfbkZwZDRrdWRpb3dWajFXTWs1M2YzMTVrOU8tOW42VXJTZTBXREVubWlyZnA5WFktMFl3NGxyUllvalFOWGJXZkg4X2c2bFRKMmVfWkdvZkM4elk2UkIwd0E5WThsNW1VNQ?oc=5&hl=ko&gl=KR&ceid=KR%3Ako,314.0,ai_infrastructure_security,ai_infrastructure_security,,no_original_date_found,no_original_date_found_kept,0.0,-239.95,,0.0,,,0.0,,,,issue_representative_attempt,I002,국가 AI 인프라/AIDC/GPU 정책,KT,경쟁사/해외이슈,경쟁사_해외이슈,경쟁사_해외이슈,자사_및_계열사_이슈,자사 및 계열사 이슈,,
자사_및_계열사_이슈,자사 및 계열사 이슈,KT,"KT·LG, MS·AWS 기반 '소버린 클라우드' 확대… 클라우드 경쟁 격화",한국클라우드신문,한국클라우드신문,"Tue, 22 Sep 2026 23:27:40 GMT","Tue, 22 Sep 2026 23:27:40 GMT","KT·LG, MS·AWS 기반 '소버린 클라우드' 확대… 클라우드 경쟁 격화 한국클라우드신문",Google 뉴스가 전세계 매체로부터 종합한 최신 뉴스,30,meta_description_short,-103.0,meta_description_not_full_body,-114.5,False,False,https://news.google.com/rss/articles/CBMib0FVX3lxTE53RUlhb2k3Vm50YkxSeVFGbFRnRHVaRWpJX1dCVVcwZmNiV3RSU1l1QTQwdUZ5YXAzdmhOZTYwdVhNa2JuNUhxX01MdjVmTHJEZVJrUjNZY3JMOVZsMF8yYVkxZ1MzNkVLbTJORFZtMNIBc0FVX3lxTE9GeUtzR0U0SU9zdTA5Y2x2LXJaM0dLbVU5dTlXZWNSWDBpc2pVX1E2NUo3cjAxYXh2UEh0TjFxMHhVbWxnVmxSdV9xWDlDb1gyU3U3a0ZESmcwQ3FyVzhsZG5VVmtEdWtmMDBfeEx2b0xpRUk?oc=5,https://news.google.com/rss/articles/CBMib0FVX3lxTE53RUlhb2k3Vm50YkxSeVFGbFRnRHVaRWpJX1dCVVcwZmNiV3RSU1l1QTQwdUZ5YXAzdmhOZTYwdVhNa2JuNUhxX01MdjVmTHJEZVJrUjNZY3JMOVZsMF8yYVkxZ1MzNkVLbTJORFZtMNIBc0FVX3lxTE9GeUtzR0U0SU9zdTA5Y2x2LXJaM0dLbVU5dTlXZWNSWDBpc2pVX1E2NUo3cjAxYXh2UEh0TjFxMHhVbWxnVmxSdV9xWDlDb1gyU3U3a0ZESmcwQ3FyVzhsZG5VVmtEdWtmMDBfeEx2b0xpRUk?oc=5&hl=ko&gl=KR&ceid=KR%3Ako,304.0,,,,no_original_date_found,no_original_date_found_kept,0.0,-244.85,,0.0,,,0.0,,,,issue_representative_attempt,I002,국가 AI 인프라/AIDC/GPU 정책,KT,경쟁사/해외이슈,경쟁사_해외이슈,경쟁사_해외이슈,자사_및_계열사_이슈,자사 및 계열사 이슈,,
자사_및_계열사_이슈,자사 및 계열사 이슈,네이버,초대형 AI 데이터센터를 소형원전으로 감당할 수 있을까,네이버 프리미엄콘텐츠,네이버 프리미엄콘텐츠,"Tue, 22 Sep 2026 15:18:00 GMT","Tue, 22 Sep 2026 15:18:00 GMT",초대형 AI 데이터센터를 소형원전으로 감당할 수 있을까 네이버 프리미엄콘텐츠,Google 뉴스가 전세계 매체로부터 종합한 최신 뉴스,30,meta_description_short,-103.0,meta_description_not_full_body,-97.5,False,False,https://news.google.com/rss/articles/CBMigwFBVV95cUxObmU5elA5bjhvSnQ1UmhwZ29HX2NOSDV4MnZsS0hvVENfV3hDdUtaREMtWkNzeXBUVzdzS0tjcTVOaVAyX3JELUJsa0NjQ1VieGVtdzVSY1Y0OXJTYllTc2dqMFlNQTJQXzJzWEtlUzMtdi03M05VLVBKX2NTbGRkTzdNSQ?oc=5,https://news.google.com/rss/articles/CBMigwFBVV95cUxObmU5elA5bjhvSnQ1UmhwZ29HX2NOSDV4MnZsS0hvVENfV3hDdUtaREMtWkNzeXBUVzdzS0tjcTVOaVAyX3JELUJsa0NjQ1VieGVtdzVSY1Y0OXJTYllTc2dqMFlNQTJQXzJzWEtlUzMtdi03M05VLVBKX2NTbGRkTzdNSQ?oc=5&hl=ko&gl=KR&ceid=KR%3Ako,235.5,"ai_infrastructure_security,aidc_datacenter",aidc_general,,no_original_date_found,no_original_date_found_kept,0.0,-232.95,,0.0,,,0.0,,,,issue_representative_attempt,I002,국가 AI 인프라/AIDC/GPU 정책,네이버,경쟁사/해외이슈,경쟁사_해외이슈,경쟁사_해외이슈,자사_및_계열사_이슈,자사 및 계열사 이슈,,
자사_및_계열사_이슈,자사 및 계열사 이슈,네이버,"네이버·LG, GPU 4512장 투입…10개월 내 프런티어급 ‘보안 특화 AI’ 만든다",이투데이,이투데이,"Tue, 22 Sep 2026 07:56:00 GMT","Tue, 22 Sep 2026 07:56:00 GMT","네이버·LG, GPU 4512장 투입…10개월 내 프런티어급 ‘보안 특화 AI’ 만든다 이투데이",Google 뉴스가 전세계 매체로부터 종합한 최신 뉴스,30,meta_description_short,-103.0,meta_description_not_full_body,-81.0,False,False,https://news.google.com/rss/articles/CBMidEFVX3lxTE03SE5NYkVxQnJxT0xIbWlUQWxVUTQzdW9oUnJESUUtMXVraXR1QXdXbEJpb28yRDVac2JyQkNrR2dva1Npa1V2a3k5R2R1b3h4d0lLbDBsa3NRMWtDdmc4QWF3R3BvMzk1Nnl4cTQzVS1ZNE05?oc=5,https://news.google.com/rss/articles/CBMidEFVX3lxTE03SE5NYkVxQnJxT0xIbWlUQWxVUTQzdW9oUnJESUUtMXVraXR1QXdXbEJpb28yRDVac2JyQkNrR2dva1Npa1V2a3k5R2R1b3h4d0lLbDBsa3NRMWtDdmc4QWF3R3BvMzk1Nnl4cTQzVS1ZNE05?oc=5&hl=ko&gl=KR&ceid=KR%3Ako,228.0,"ai_infrastructure_security,aidc_datacenter,phishing_security,privacy_security_reliability",aidc_gpu_npu,,no_original_date_found,no_original_date_found_kept,0.0,-221.4,,0.0,,,0.0,,,,issue_representative_attempt,I002,국가 AI 인프라/AIDC/GPU 정책,네이버,경쟁사/해외이슈,경쟁사_해외이슈,경쟁사_해외이슈,자사_및_계열사_이슈,자사 및 계열사 이슈,,
자사_및_계열사_이슈,자사 및 계열사 이슈,네이버,"연산이 돈이 되는 시대, 블랙록이 GPU를 '자산'이라 부른 이유",네이버 프리미엄콘텐츠,네이버 프리미엄콘텐츠,"Wed, 23 Sep 2026 02:35:00 GMT","Wed, 23 Sep 2026 02:35:00 GMT","연산이 돈이 되는 시대, 블랙록이 GPU를 '자산'이라 부른 이유 네이버 프리미엄콘텐츠",Google 뉴스가 전세계 매체로부터 종합한 최신 뉴스,30,meta_description_short,-103.0,meta_description_not_full_body,-97.5,False,False,https://news.google.com/rss/articles/CBMijAFBVV95cUxQRHZxZ2FqZXhIV1FDcXRpLWFKczR5NkxCazNlOHV3R3NPbFJzRWZqQUtmUTNzZTNGRGpESHZSY2EwcmZFcmtZdDgzUGJFZGEtWkRZWG5SVEstbndwRWdWeGpjZG5GbXVPM2lsT1JHSmZRVXJHaHdqWjFYTm5jRGZKTk5weGJRN1FJZU5UUQ?oc=5,https://news.google.com/rss/articles/CBMijAFBVV95cUxQRHZxZ2FqZXhIV1FDcXRpLWFKczR5NkxCazNlOHV3R3NPbFJzRWZqQUtmUTNzZTNGRGpESHZSY2EwcmZFcmtZdDgzUGJFZGEtWkRZWG5SVEstbndwRWdWeGpjZG5GbXVPM2lsT1JHSmZRVXJHaHdqWjFYTm5jRGZKTk5weGJRN1FJZU5UUQ?oc=5&hl=ko&gl=KR&ceid=KR%3Ako,204.5,"ai_infrastructure_security,aidc_datacenter",aidc_gpu_npu,,no_original_date_found,no_original_date_found_kept,0.0,-232.95,,0.0,,,0.0,,,,issue_representative_attempt,I002,국가 AI 인프라/AIDC/GPU 정책,네이버,경쟁사/해외이슈,경쟁사_해외이슈,경쟁사_해외이슈,자사_및_계열사_이슈,자사 및 계열사 이슈,,
