id,원카테고리,JSON카테고리,검색어,기사제목,기사제목_정규화,언론사,정규언론사,게시일,본문요약,링크,수집채널,랭킹점수,중요도점수,사건태그,사건단계,주요주체,랭킹감점사유,정책규제의무,강제검토,강제검토사유,자사홍보성,이슈패밀리,코드힌트,오늘성점수,오늘성사유,기사유형,v26이벤트키,v26진행단계,v27_industry_ok,v27_industry_reason,v27_industry_score,v32_competitor_basis,v32_competitor_portfolio,v32_actor_group,랭킹원점수,편집신호,스토리버킷,전역사건키,전역사건기본키,Gemini카테고리,Gemini내부카테고리,Gemini이슈패밀리,Gemini이슈그룹,Gemini관련성,Gemini중요도,Gemini대외협력중요도,Gemini관련도,GeminiPR성,Gemini제외,Gemini판단사유,Gemini라벨소스,Gemini자사티어,Gemini정부티어,Gemini경쟁사티어,Gemini경쟁사범위,Gemini정책영향경로,Gemini경쟁시사점,Gemini중복그룹,Gemini이슈유형,v27_event_key,v26_2_profile_reason
2138,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"네이버, 엔비디아 손잡고 AI 팩토리 승부수…문제는 ‘수익화 시간표’",네이버 엔비디아 손잡고 ai 팩토리 승부수 문제는 수익화 시간표,뉴스퀘스트,뉴스퀘스트,"Wed, 01 Jul 2026 06:37:41 GMT","네이버, 엔비디아 손잡고 AI 팩토리 승부수…문제는 ‘수익화 시간표’ 뉴스퀘스트",https://news.google.com/rss/articles/CBMic0FVX3lxTFB2NXNlb3E5UUVTUW5LNjNkRHJHdWZodm1QWnJ4cGdfME1hSHlCWmZELUJNYm5XRC02UzRqdlZFWER2eU1pX0NIaDhfQ1pkRlNFSGlHMEZPOC1MeDJsU3EzOVR1ODhIVXltQ21oVkZUQlN4ZGfSAXNBVV95cUxQdjVzZW9xOVFFU1FuSzYzZERyR3VmaHZtUFpyeHBnXzBNYUh5QlpmRC1CTWJuV0QtNlM0anZWRVhEdnlNaV9DSGg4X0NaZEZTRUhpRzBGTzgtTHgybFNxMzlUdTg4SFV5bUNtaFZGVEJTeGRn?oc=5,google_rss_네이버 when:2d,351.5,13.5,ai_infrastructure_security,ai_infrastructure_security,네이버,,,,,,,general,24.0,published_today,business_change,event:네이버:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,351.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:네이버 엔비디아 손잡고 ai 팩토리 승부수 문제는 수익화 시간표,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:네이버 엔비디아 손잡고 ai 팩토리 승부수 문제는 수익화 시간표,comp_domestic_ai_platform,,
2536,경쟁사/해외이슈,경쟁사_해외이슈,쿠팡,"쿠팡·SKT 1000억대 보안에도 유출…""기업 구제 관점에서 보안 투자 지속해야""",쿠팡 skt 1000억대 보안에도 유출 기업 구제 관점에서 보안 투자 지속해야,MTN 머니투데이방송,MTN 머니투데이방송,"Wed, 01 Jul 2026 07:03:34 GMT","쿠팡·SKT 1000억대 보안에도 유출…""기업 구제 관점에서 보안 투자 지속해야"" MTN 머니투데이방송",https://news.google.com/rss/articles/CBMiZEFVX3lxTE92b3kwRUp1WlZ3ZVR4S2ZsODhXclQxRUxVVHpVRnVfVHhjS0FJZkdRWENZYUFBQmtzRE9BT0ZpWGNPcFRmOFNsNXRvRnJNRjBjaEtsR010QkpybHBkS2FxaEVJMGM?oc=5,google_rss_쿠팡 when:2d,336.0,43.0,"phishing_security,platform_obligation,privacy_security_reliability",security_general,"SKT,쿠팡",,,,,,,general,24.0,published_today,direct_risk,privacy_security:coupang:data_leak,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,coupang_competitor_enforcement_or_risk,Y,coupang,336.0,"privacy_security_reliability,platform_obligation",competitor:security_reliability,global_incident:privacy_security:coupang:coupang:data_leak:general,global_incident:privacy_security:coupang:coupang,경쟁사_해외이슈,COMPETITOR_PLATFORM_RISK,comp_domestic_direct_risk,global_incident:privacy_security:coupang:coupang,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_DIRECT_RISK,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:privacy_security:coupang:coupang,comp_domestic_direct_risk,,
2338,경쟁사/해외이슈,경쟁사_해외이슈,SKT,"쿠팡·SKT 1000억대 보안에도 유출…""기업 구제 관점에서 보안 투자 지속해야""",쿠팡 skt 1000억대 보안에도 유출 기업 구제 관점에서 보안 투자 지속해야,v.daum.net,v.daum.net,"Wed, 01 Jul 2026 07:06:16 GMT","쿠팡·SKT 1000억대 보안에도 유출…""기업 구제 관점에서 보안 투자 지속해야"" v.daum.net",https://news.google.com/rss/articles/CBMiT0FVX3lxTE45b2VvbnRLejFxOFFsTWxCVDRfVnMxNk9TMnU1TlNjdE04cGFQRkhxak1RRXVKcV9vYUFPdlhheTlTZDZramp2dmlURTBneGM?oc=5,google_rss_SKT when:2d,332.0,43.0,"phishing_security,platform_obligation,privacy_security_reliability",security_general,"SKT,쿠팡",,,,,,,general,24.0,published_today,direct_risk,privacy_security:coupang:data_leak,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,coupang_competitor_enforcement_or_risk,Y,coupang,332.0,"privacy_security_reliability,platform_obligation",competitor:security_reliability,global_incident:privacy_security:coupang:coupang:data_leak:general,global_incident:privacy_security:coupang:coupang,경쟁사_해외이슈,SELF_AFFILIATE_BUSINESS,self_filler_reference,global_incident:privacy_security:coupang:coupang,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,2,5,,,v26: 카카오 직접 주체가 없어 자사 섹션 제외/재분류 / v26.2: overseas structural industry candidate,local_low_confidence,OFF_TOPIC,,COMP_DOMESTIC_DIRECT_RISK,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:privacy_security:coupang:coupang,self_filler_reference,,
2140,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"'캐릭터' 넘어 '세계관'으로, 네이버웹툰 AI챗 '바이어스' 출시",캐릭터 넘어 세계관 으로 네이버웹툰 ai챗 바이어스 출시,글로벌이코노믹,글로벌이코노믹,"Wed, 01 Jul 2026 05:52:29 GMT","'캐릭터' 넘어 '세계관'으로, 네이버웹툰 AI챗 '바이어스' 출시 글로벌이코노믹",https://news.google.com/rss/articles/CBMif0FVX3lxTE5VazRackREWHRleEs0OW9iRHJMSHVpQ0dzQ0xxNUJreHFhemZmMWVlSTdZNThlLU82cGlCcU1aeTY0YWYzR1ZkR2VoLVdudDNMblhpcWJIcmhhemlhZzhrMzZ6Si1MenZzVXFRdHlaek5aekJLdWFlUzFvaFExa0E?oc=5,google_rss_네이버 when:2d,314.5,13.5,ai_infrastructure_security,ai_infrastructure_security,네이버,,,,,,,general,24.0,published_today,business_change,event:네이버:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,314.5,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,comp_domestic_ai_platform:캐릭터 넘어 세계관 으로 네이버웹툰 ai챗 바이어스 출시,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_ai_platform:캐릭터 넘어 세계관 으로 네이버웹툰 ai챗 바이어스 출시,comp_domestic_ai_platform,,
2208,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"소프트뱅크, 오픈AI 2차 투자 100억 달러 전격 집행… 300억 달러 후속 투자의 '3분의 2'를 채웠습니다",소프트뱅크 오픈ai 2차 투자 100억 달러 전격 집행 300억 달러 후속 투자의 3분의 2 를 채웠습니다,네이버 프리미엄콘텐츠,네이버 프리미엄콘텐츠,"Wed, 01 Jul 2026 09:39:00 GMT","소프트뱅크, 오픈AI 2차 투자 100억 달러 전격 집행… 300억 달러 후속 투자의 '3분의 2'를 채웠습니다 네이버 프리미엄콘텐츠",https://news.google.com/rss/articles/CBMijAFBVV95cUxNMFVzWlZaQjhleVEwVlZ4TGRjOGJzdmRQTGJPcnZWWmNFSVU5TmtJNUR3WUpjeVRYekQzVFJsMzJTU18xSjVWVUhodjNtZkctUU9heERJY0swb2lNTkxnT0xaRVBTUkFTd3B6N2xwUUJaX2dWVmJTTGFqUWNGSFdObElTaDdpNGlQY1pVNA?oc=5,google_rss_네이버 AI when:2d,309.0,16.0,ai_infrastructure_security,ai_infrastructure_security,"네이버,오픈AI",brand_not_in_title,,,,,,general,24.0,published_today,business_change,global_incident:ai_security_policy:naver:openai_security_access,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,309.0,ai_infrastructure_security,competitor:ai_strategy,global_incident:ai_security_policy:naver:openai_security_access:general,global_incident:ai_security_policy:naver:openai_security_access,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,global_incident:ai_security_policy:naver:openai_security_access,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,mixed,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,global_incident:ai_security_policy:naver:openai_security_access,comp_domestic_ai_platform,,
3685,경쟁사/해외이슈,경쟁사_해외이슈,일본 빅테크,"4755조 반도체 투자, 작은 소재 하나에 멈출 수 있다",4755조 반도체 투자 작은 소재 하나에 멈출 수 있다,네이버 프리미엄콘텐츠,네이버 프리미엄콘텐츠,"Wed, 01 Jul 2026 09:00:00 GMT","4755조 반도체 투자, 작은 소재 하나에 멈출 수 있다 네이버 프리미엄콘텐츠",https://news.google.com/rss/articles/CBMihgFBVV95cUxPbUhpSkhQTWhROVNaRVBfRVVoQnd1eVplUTJVNHlyUF9RYzRXWjdZRWFkQ19TQlZsR0hlZXFwSGdWNkMwb25ONkdkNWU2bkcyYXBIRktIVkpLRm5YenRDSGRNT3hUaUIwR0RSM2daajJZaVNRZnVoSGI2Q2hIeklBNW16bzBPQQ?oc=5,google_rss_일본 빅테크 when:2d,306.5,6.5,,,네이버,,,,,,,general,24.0,published_today,general,,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,306.5,,,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_strategy,comp_domestic_strategy:4755조 반도체 투자 작은 소재 하나에 멈출 수 있다,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_STRATEGY,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_strategy:4755조 반도체 투자 작은 소재 하나에 멈출 수 있다,comp_domestic_strategy,,
2517,경쟁사/해외이슈,경쟁사_해외이슈,LGU+,"글로벌 투자자 눈에 비친 통신3사…""LGU+ 거버넌스 우려 가장 커""",글로벌 투자자 눈에 비친 통신3사 lgu+ 거버넌스 우려 가장 커,디지털데일리,디지털데일리,"Wed, 01 Jul 2026 03:00:00 GMT","글로벌 투자자 눈에 비친 통신3사…""LGU+ 거버넌스 우려 가장 커"" 디지털데일리",https://news.google.com/rss/articles/CBMiZEFVX3lxTE51a0NMZURGTnViWXRvTzZrSUFnQ19NZ2M0U29QX0hoMmJpWF84NzkyRFdNbU1tT05sZ2N2TTdGYW1oZ2FVRmRROVljd05mQ0FkeW9acWIwRWw5MXJ0bWZqRV9KYVo?oc=5,google_rss_LGU+ when:2d,306.0,4.0,,,LGU+,,,,,,,general,24.0,published_today,general,,general,Y,"industry_basis_pass:actor=True,change=True,bridge=False",2,naver_telco_strategy_or_infra,Y,telco,306.0,,,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_strategy,comp_domestic_strategy:글로벌 투자자 눈에 비친 통신3사 lgu+ 거버넌스 우려 가장 커,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_STRATEGY,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,comp_domestic_strategy:글로벌 투자자 눈에 비친 통신3사 lgu+ 거버넌스 우려 가장 커,comp_domestic_strategy,,
2269,경쟁사/해외이슈,경쟁사_해외이슈,네이버,"[6월 30일](미국 마감) 반도체 장비 3대장 상승, AI 인프라·바이오에 쏠린 수급",6월 30일 미국 마감 반도체 장비 3대장 상승 ai 인프라 바이오에 쏠린 수급,네이버 프리미엄콘텐츠,네이버 프리미엄콘텐츠,"Mon, 29 Jun 2026 21:37:00 GMT","[6월 30일](미국 마감) 반도체 장비 3대장 상승, AI 인프라·바이오에 쏠린 수급 네이버 프리미엄콘텐츠",https://news.google.com/rss/articles/CBMikgFBVV95cUxQXzJFWGlmR2JSV3Z2b0hicGhNeHpXSG5vUml6clVBV3dUZExmQVUzX2x5dC1fbld5ZkVvblRGTS1wLW5tMC0zMy10Y2hYVGtSTWxVdFAtVDZjODRrQXJxVk5iT2hybFA0MWc2eUJsWWNBVWM0eGZoZ2paZEQ4Zkkyd3UwNS1JWjU1YnFyeDdWVWZYUQ?oc=5,google_rss_네이버 법안 when:2d,293.0,13.5,ai_infrastructure_security,ai_infrastructure_security,네이버,brand_not_in_title,,,,,,general,14.0,published_yesterday,business_change,event:네이버:ai_infrastructure_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,293.0,ai_infrastructure_security,competitor:ai_strategy,,,경쟁사_해외이슈,COMPETITOR_AI_STRATEGY,comp_domestic_ai_platform,국가 AI 인프라/AIDC/GPU 정책,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,4,4,5,,,로컬 보조 라벨 / v26.2: overseas structural industry candidate,local_low_confidence,,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,국가 AI 인프라/AIDC/GPU 정책,comp_domestic_ai_platform,,
70,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"AI 시대 보안은 필수…네이버·카카오, 정보보호 투자 '역대 최대'",ai 시대 보안은 필수 네이버 카카오 정보보호 투자 역대 최대,v.daum.net,v.daum.net,"Tue, 30 Jun 2026 22:09:02 GMT","AI 시대 보안은 필수…네이버·카카오, 정보보호 투자 '역대 최대' v.daum.net",https://news.google.com/rss/articles/CBMiVEFVX3lxTE4wVWFaWlZyMzdndlBqai1LTzNKQVBNZzFfZDhNbmJONEozbUdZMXVsekN0ZVVRY1FJR3M3RG9Dc2ZnckpxOG1zQnJFTU1uWFRGVVdRWg?oc=5,google_rss_카카오 when:2d,267.8,92.0,"ai_infrastructure_security,phishing_security,privacy_security_reliability",security_general,"네이버,카카오",,,Y,must_review:self_strict:privacy_security:privacy_security_reliability,,,direct_self_risk,24.0,published_today,direct_risk,event:네이버+카카오:ai_infrastructure_security+phishing_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,267.8,"privacy_security_reliability,ai_infrastructure_security",self:privacy_security,,,자사_및_계열사_이슈,SELF_DIRECT_RISK,self_privacy_security,self_privacy_security:ai 시대 보안은 필수 네이버 카카오 정보보호 투자 역대 최대,카카오 또는 계열사에 직접 발생한 외부 대응 필요 이슈,5,5,5,,,로컬 보조 라벨 / v26: 오늘 새 직접 사건·진전,local_low_confidence,DIRECT_RISK,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오 또는 계열사에 직접 발생한 외부 대응 필요 이슈,self_privacy_security:ai 시대 보안은 필수 네이버 카카오 정보보호 투자 역대 최대,self_privacy_security,,
51,자사 및 계열사 이슈,자사_및_계열사_이슈,카카오,"AI 시대 보안은 필수···네이버·카카오, 정보보호 투자 '역대 최대'",ai 시대 보안은 필수 네이버 카카오 정보보호 투자 역대 최대,뉴스웨이,뉴스웨이,"Tue, 30 Jun 2026 22:09:00 GMT","AI 시대 보안은 필수···네이버·카카오, 정보보호 투자 '역대 최대' 뉴스웨이",https://news.google.com/rss/articles/CBMiakFVX3lxTE1ZNDkwMzJoWDlnVVZTY3Vqc1JJdFlSWWhUalNLTHdyNm4tdXducmZWVmlhZWRoTzlEMkVvVW9UdWp3NmpsYVVtTWZwZG5Pa0NZM1lfekVoUGUzd1l1cG84d3pDcEQzRW5jZnc?oc=5,google_rss_카카오 when:2d,267.8,92.0,"ai_infrastructure_security,phishing_security,privacy_security_reliability",security_general,"네이버,카카오",,,Y,must_review:self_strict:privacy_security:privacy_security_reliability,,,direct_self_risk,24.0,published_today,direct_risk,event:네이버+카카오:ai_infrastructure_security+phishing_security,general,Y,"industry_basis_pass:actor=True,change=True,bridge=True",3,naver_telco_strategy_or_infra,Y,naver,267.8,"privacy_security_reliability,ai_infrastructure_security",self:privacy_security,,,자사_및_계열사_이슈,SELF_DIRECT_RISK,self_privacy_security,self_privacy_security:ai 시대 보안은 필수 네이버 카카오 정보보호 투자 역대 최대,카카오 또는 계열사에 직접 발생한 외부 대응 필요 이슈,5,5,5,,,로컬 보조 라벨 / v26: 오늘 새 직접 사건·진전,local_low_confidence,DIRECT_RISK,,COMP_DOMESTIC_AI_PLATFORM,domestic,,카카오 또는 계열사에 직접 발생한 외부 대응 필요 이슈,self_privacy_security:ai 시대 보안은 필수 네이버 카카오 정보보호 투자 역대 최대,self_privacy_security,,
